date,Symbol,Security,GICS Sector,score,weight
2018-01-31,SPGI,S&P Global,Financials,77.93436532510975,0.12000034013977331
2018-01-31,URI,United Rentals,Industrials,79.92678329704847,0.12000034013977331
2018-01-31,GOOG,Alphabet Inc. (Class C),Communication Services,76.10796508277662,0.12000034013977331
2018-01-31,MA,Mastercard,Financials,77.0380153445107,0.12000034013977331
2018-01-31,AMZN,Amazon,Consumer Discretionary,76.42545995963944,0.12000034013977331
2018-01-31,FTNT,Fortinet,Information Technology,77.46207496300967,0.11452473169217736
2018-01-31,CPRT,Copart,Industrials,77.1206753169365,0.0999982993011335
2018-01-31,NVDA,Nvidia,Information Technology,85.99030244453677,0.07183266339224732
2018-01-31,NTAP,NetApp,Information Technology,78.80899219946866,0.060799206137797546
2018-01-31,ANET,Arista Networks,Information Technology,83.74464411810398,0.05284339877777765
2018-02-28,BBY,Best Buy,Consumer Discretionary,77.52965099954473,0.14669870580798777
2018-02-28,DECK,Deckers Brands,Consumer Discretionary,82.28746176639416,0.14669870580798777
2018-02-28,ODFL,Old Dominion,Industrials,79.11994436785179,0.11779658674988899
2018-02-28,CPRT,Copart,Industrials,81.32397086179262,0.11779658674988899
2018-02-28,URI,United Rentals,Industrials,79.34088748664499,0.11779658674988899
2018-02-28,ADBE,Adobe Inc.,Information Technology,78.0524059847422,0.08879796730294882
2018-02-28,STX,Seagate Technology,Information Technology,79.45320237260954,0.07846418326004449
2018-02-28,ON,ON Semiconductor,Information Technology,80.39655670801847,0.07107384404638671
2018-02-28,NVDA,Nvidia,Information Technology,87.828384132441,0.06580936398039718
2018-02-28,ANET,Arista Networks,Information Technology,86.28275394650586,0.04906746954458028
2018-03-29,ODFL,Old Dominion,Industrials,78.73714584267717,0.14672439975213128
2018-03-29,CPRT,Copart,Industrials,80.91265434241036,0.14672439975213128
2018-03-29,AMZN,Amazon,Consumer Discretionary,78.25750996014808,0.11862096009752052
2018-03-29,DECK,Deckers Brands,Consumer Discretionary,83.12809525601763,0.11862096009752052
2018-03-29,BBY,Best Buy,Consumer Discretionary,78.09771945832547,0.11612332021598505
2018-03-29,ADBE,Adobe Inc.,Information Technology,81.5154580304248,0.09540959536911145
2018-03-29,ON,ON Semiconductor,Information Technology,79.85551552100063,0.07516459655353644
2018-03-29,NVDA,Nvidia,Information Technology,87.78297056598629,0.0700835472222902
2018-03-29,LRCX,Lam Research,Information Technology,77.84303423796719,0.05843566255535295
2018-03-29,ANET,Arista Networks,Information Technology,86.44130414272911,0.054092558384420446
2018-04-30,ANET,Arista Networks,Information Technology,83.10487869755917,0.12613420469768652
2018-04-30,NDAQ,"Nasdaq, Inc.",Financials,78.48705619266094,0.12613420469768652
2018-04-30,NVDA,Nvidia,Information Technology,79.58194290008174,0.12613420469768652
2018-04-30,VLO,Valero Energy,Energy,85.18869283751405,0.10450127394382897
2018-04-30,PSX,Phillips 66,Energy,82.98525265243796,0.10450127394382897
2018-04-30,LVS,Las Vegas Sands,Consumer Discretionary,78.89416648845446,0.10403639440347724
2018-04-30,MPC,Marathon Petroleum,Energy,82.17267671179718,0.10178587231176318
