signal_date,execution_date,Symbol,Security,GICS Sector,score,weight
2018-01-31,2018-02-01,SPGI,S&P Global,Financials,77.93436532510975,0.12
2018-01-31,2018-02-01,URI,United Rentals,Industrials,79.9267800641291,0.12
2018-01-31,2018-02-01,GOOG,Alphabet Inc. (Class C),Communication Services,76.10796508277662,0.12
2018-01-31,2018-02-01,AMZN,Amazon,Consumer Discretionary,76.42545995963944,0.12
2018-01-31,2018-02-01,CPRT,Copart,Industrials,77.1206753169365,0.10577828289208935
2018-01-31,2018-02-01,MA,Mastercard,Financials,77.0380153445107,0.09585209552533684
2018-01-31,2018-02-01,NVDA,Nvidia,Information Technology,85.99029723903328,0.09071173354911502
2018-01-31,2018-02-01,MSCI,MSCI,Financials,75.6780900372647,0.08414790447466312
2018-01-31,2018-02-01,NTAP,NetApp,Information Technology,78.80898702029627,0.07677837083773519
2018-01-31,2018-02-01,ANET,Arista Networks,Information Technology,83.74464411810398,0.06673161272106055
2018-02-28,2018-03-01,CPRT,Copart,Industrials,81.32397086179262,0.11907181519453738
2018-02-28,2018-03-01,ARES,Ares Management,Financials,76.51407588506942,0.11112470287961751
2018-02-28,2018-03-01,ON,ON Semiconductor,Information Technology,80.39655670801847,0.11041354199094985
2018-02-28,2018-03-01,AMZN,Amazon,Consumer Discretionary,76.67721205071021,0.10659162071983357
2018-02-28,2018-03-01,NVDA,Nvidia,Information Technology,87.82838423481543,0.10223521663780032
2018-02-28,2018-03-01,DECK,Deckers Brands,Consumer Discretionary,82.28746176639416,0.09891784744023221
2018-02-28,2018-03-01,ODFL,Old Dominion,Industrials,79.11994436785179,0.09606279528765174
2018-02-28,2018-03-01,BBY,Best Buy,Consumer Discretionary,77.52965099954473,0.09449053183993415
2018-02-28,2018-03-01,URI,United Rentals,Industrials,79.34088748664499,0.08486538951781084
2018-02-28,2018-03-01,ANET,Arista Networks,Information Technology,86.28275394650586,0.07622653849163226
2018-03-29,2018-04-02,MA,Mastercard,Financials,77.70049972915831,0.12
2018-03-29,2018-04-02,ADBE,Adobe Inc.,Information Technology,81.5154580304248,0.12
2018-03-29,2018-04-02,CPRT,Copart,Industrials,80.91265434241036,0.11913197470951074
2018-03-29,2018-04-02,DECK,Deckers Brands,Consumer Discretionary,83.12809525601763,0.10608178165435518
2018-03-29,2018-04-02,ODFL,Old Dominion,Industrials,78.73714584267717,0.10185098457230955
2018-03-29,2018-04-02,AMZN,Amazon,Consumer Discretionary,78.25750996014808,0.10123165548272638
2018-03-29,2018-04-02,BBY,Best Buy,Consumer Discretionary,78.09771945832547,0.09268656286291842
2018-03-29,2018-04-02,NVDA,Nvidia,Information Technology,87.78297056598629,0.09030218749369041
2018-03-29,2018-04-02,BA,Boeing,Industrials,76.7163510017107,0.07901704071817968
2018-03-29,2018-04-02,ANET,Arista Networks,Information Technology,86.44130414272911,0.06969781250630962
2018-04-30,2018-05-01,STX,Seagate Technology,Information Technology,77.56866854095024,0.12
2018-04-30,2018-05-01,NDAQ,"Nasdaq, Inc.",Financials,78.48705619266094,0.12
2018-04-30,2018-05-01,PSX,Phillips 66,Energy,82.98525265243796,0.11529919154092538
2018-04-30,2018-05-01,LVS,Las Vegas Sands,Consumer Discretionary,78.89416648845446,0.1152679527498986
2018-04-30,2018-05-01,VLO,Valero Energy,Energy,85.18869518276023,0.10172228997393064
2018-04-30,2018-05-01,DECK,Deckers Brands,Consumer Discretionary,81.33482852227877,0.09669263798453796
2018-04-30,2018-05-01,NVDA,Nvidia,Information Technology,79.58194290008174,0.0882339474492779
2018-04-30,2018-05-01,AMZN,Amazon,Consumer Discretionary,80.50570324485385,0.0880394092655634
