yahoo_symbol,stooq_symbol,http_status,rows,first_date,last_date,available,note
ABMD,abmd.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
ADS,ads.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
AET,aet.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
AGN,agn.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
ALXN,alxn.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
ANDV,andv.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
ANSS,anss.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
ARNC,arnc.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
ATVI,atvi.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
BK,bk.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
CA,ca.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
CELG,celg.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
CERN,cern.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
CHK,chk.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
CMA,cma.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
COL,col.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
CSRA,csra.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
CTLT,ctlt.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
CTRA,ctra.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
CTXS,ctxs.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
CXO,cxo.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
DAY,day.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
DFS,dfs.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
DISCA,disca.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
DISCK,disck.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
DISH,dish.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
DPS,dps.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
DRE,dre.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
DWDP,dwdp.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
EA,ea.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
ESRX,esrx.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
ETFC,etfc.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
EVHC,evhc.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
FBHS,fbhs.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
FL,fl.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
FLIR,flir.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
FRC,frc.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
GGP,ggp.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
GPS,gps.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
HBI,hbi.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
HES,hes.us,200,0,,,False,"<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name=""robots"" content=""no"
