month,members,price_available,missing,coverage,coverage_excluding_transport_failures
2018-01,507,433,74,0.854043392504931,0.9901380670611439
2018-02,507,433,74,0.854043392504931,0.9901380670611439
2018-03,507,435,72,0.8579881656804734,0.9901380670611439
2018-04,507,436,71,0.8599605522682445,0.9901380670611439
2018-05,507,436,71,0.8599605522682445,0.9901380670611439
2018-06,506,435,71,0.8596837944664032,0.9901185770750988
2018-07,506,436,70,0.8616600790513834,0.9901185770750988
2018-08,506,437,69,0.8636363636363636,0.9901185770750988
2018-09,506,437,69,0.8636363636363636,0.9901185770750988
2018-10,506,439,67,0.8675889328063241,0.9901185770750988
2018-11,506,440,66,0.8695652173913043,0.9901185770750988
2018-12,506,443,63,0.8754940711462451,0.9901185770750988
2019-01,506,443,63,0.8754940711462451,0.9901185770750988
2019-02,506,444,62,0.8774703557312253,0.9901185770750988
2019-03,506,446,60,0.8814229249011858,0.9940711462450593
2019-04,506,446,60,0.8814229249011858,0.9940711462450593
2019-05,506,446,60,0.8814229249011858,0.9940711462450593
2019-06,506,447,59,0.883399209486166,0.9940711462450593
2019-07,506,449,57,0.8873517786561265,0.9940711462450593
2019-08,506,451,55,0.8913043478260869,0.9960474308300395
2019-09,506,452,54,0.8932806324110671,0.9960474308300395
2019-10,506,452,54,0.8932806324110671,0.9960474308300395
2019-11,506,453,53,0.8952569169960475,0.9960474308300395
2019-12,506,455,51,0.8992094861660079,0.9980237154150198
2020-01,506,456,50,0.9011857707509882,0.9980237154150198
2020-02,506,456,50,0.9011857707509882,0.9980237154150198
2020-03,506,457,49,0.9031620553359684,0.9980237154150198
2020-04,506,459,47,0.9071146245059288,0.9980237154150198
2020-05,506,460,46,0.9090909090909091,0.9980237154150198
2020-06,506,462,44,0.9130434782608695,0.9980237154150198
2020-07,506,462,44,0.9130434782608695,0.9980237154150198
2020-08,506,462,44,0.9130434782608695,0.9980237154150198
2020-09,506,461,45,0.9110671936758893,0.9980237154150198
2020-10,506,463,43,0.9150197628458498,0.9980237154150198
2020-11,506,463,43,0.9150197628458498,0.9980237154150198
2020-12,506,463,43,0.9150197628458498,0.9980237154150198
2021-01,506,465,41,0.9189723320158103,0.9980237154150198
2021-02,506,465,41,0.9189723320158103,0.9980237154150198
2021-03,506,465,41,0.9189723320158103,0.9980237154150198
2021-04,506,466,40,0.9209486166007905,0.9980237154150198
2021-05,506,467,39,0.9229249011857708,0.9980237154150198
2021-06,506,468,38,0.924901185770751,0.9980237154150198
2021-07,506,469,37,0.9268774703557312,0.9980237154150198
2021-08,506,470,36,0.9288537549407114,0.9980237154150198
2021-09,505,469,36,0.9287128712871288,0.998019801980198
2021-10,505,469,36,0.9287128712871288,0.998019801980198
2021-11,505,469,36,0.9287128712871288,0.998019801980198
2021-12,505,470,35,0.9306930693069307,0.996039603960396
2022-01,505,470,35,0.9306930693069307,0.996039603960396
2022-02,505,472,33,0.9346534653465347,0.996039603960396
2022-03,505,473,32,0.9366336633663367,0.998019801980198
2022-04,504,475,29,0.9424603174603174,0.998015873015873
2022-05,504,475,29,0.9424603174603174,0.998015873015873
2022-06,503,475,28,0.9443339960238568,0.9980119284294234
2022-07,503,475,28,0.9443339960238568,0.9980119284294234
2022-08,503,475,28,0.9443339960238568,0.9980119284294234
2022-09,503,475,28,0.9443339960238568,0.9980119284294234
2022-10,503,478,25,0.9502982107355865,0.9980119284294234
2022-11,503,479,24,0.952286282306163,0.9980119284294234
2022-12,503,481,22,0.9562624254473161,0.9980119284294234
2023-01,503,481,22,0.9562624254473161,0.9980119284294234
2023-02,503,481,22,0.9562624254473161,0.9980119284294234
2023-03,503,483,20,0.9602385685884692,1.0
2023-04,503,483,20,0.9602385685884692,1.0
2023-05,503,484,19,0.9622266401590457,1.0
2023-06,503,485,18,0.9642147117296223,1.0
2023-07,503,485,18,0.9642147117296223,1.0
2023-08,503,485,18,0.9642147117296223,1.0
2023-09,503,485,18,0.9642147117296223,1.0
2023-10,503,486,17,0.9662027833001988,1.0
2023-11,503,486,17,0.9662027833001988,1.0
2023-12,503,487,16,0.9681908548707754,1.0
2024-01,503,487,16,0.9681908548707754,1.0
2024-02,503,487,16,0.9681908548707754,1.0
2024-03,503,487,16,0.9681908548707754,1.0
2024-04,503,487,16,0.9681908548707754,1.0
2024-05,503,488,15,0.9701789264413518,1.0
2024-06,503,489,14,0.9721669980119284,1.0
2024-07,503,489,14,0.9721669980119284,1.0
2024-08,503,489,14,0.9721669980119284,1.0
2024-09,504,490,14,0.9722222222222222,1.0
2024-10,503,489,14,0.9721669980119284,1.0
2024-11,503,490,13,0.974155069582505,1.0
2024-12,503,491,12,0.9761431411530815,1.0
2025-01,503,491,12,0.9761431411530815,1.0
2025-02,503,491,12,0.9761431411530815,1.0
2025-03,503,491,12,0.9761431411530815,1.0
2025-04,503,491,12,0.9761431411530815,1.0
2025-05,503,492,11,0.9781312127236581,1.0
2025-06,503,492,11,0.9781312127236581,1.0
2025-07,503,495,8,0.9840954274353877,1.0
2025-08,503,496,7,0.9860834990059643,1.0
2025-09,503,496,7,0.9860834990059643,1.0
2025-10,503,496,7,0.9860834990059643,1.0
2025-11,503,497,6,0.9880715705765407,1.0
2025-12,503,498,5,0.9900596421471173,1.0
2026-01,503,498,5,0.9900596421471173,1.0
2026-02,503,499,4,0.9920477137176938,1.0
2026-03,503,498,5,0.9900596421471173,1.0
2026-04,503,498,5,0.9900596421471173,1.0
