month,symbol
2018-01,ADS
2018-01,AET
2018-01,AGN
2018-01,ALXN
2018-01,ANDV
2018-01,ANSS
2018-01,APC
2018-01,ARNC
2018-01,ATVI
2018-01,BF/B
2018-01,BK
2018-01,BRK/B
2018-01,CA
2018-01,CELG
2018-01,CERN
2018-01,CHK
2018-01,CMA
2018-01,COL
2018-01,CSRA
2018-01,CTRA
2018-01,CTXS
2018-01,CXO
2018-01,DAY
2018-01,DFS
2018-01,DISCA
2018-01,DISCK
2018-01,DISH
2018-01,DPS
2018-01,DRE
2018-01,DWDP
2018-01,EA
2018-01,ESRX
2018-01,ETFC
2018-01,EVHC
2018-01,FBHS
2018-01,FL
2018-01,FLIR
2018-01,FOX
2018-01,FOXA
2018-01,GGP
2018-01,GPS
2018-01,HBI
2018-01,HES
2018-01,HOLX
2018-01,INFO
2018-01,IPG
2018-01,JNPR
2018-01,JWN
2018-01,K
2018-01,KSU
2018-01,LLL
2018-01,MON
2018-01,MRO
2018-01,NBL
2018-01,NFX
2018-01,NLSN
2018-01,PBCT
2018-01,PDCO
2018-01,PXD
2018-01,RHT
2018-01,RTN
2018-01,SCG
2018-01,SEE
2018-01,SNI
2018-01,SRCL
2018-01,STI
2018-01,TIF
2018-01,TSS
2018-01,TWX
2018-01,VAR
2018-01,VIAB
2018-01,WBA
2018-01,WYN
2018-01,XEC
2018-01,XL
2018-01,XLNX
2018-02,ADS
2018-02,AET
2018-02,AGN
2018-02,ALXN
2018-02,ANDV
2018-02,ANSS
2018-02,APC
2018-02,ARNC
2018-02,ATVI
2018-02,BF/B
2018-02,BK
2018-02,BRK/B
2018-02,CA
2018-02,CELG
2018-02,CERN
2018-02,CHK
2018-02,CMA
2018-02,COL
2018-02,CSRA
2018-02,CTRA
2018-02,CTXS
2018-02,CXO
2018-02,DAY
2018-02,DFS
2018-02,DISCA
2018-02,DISCK
2018-02,DISH
2018-02,DPS
2018-02,DRE
2018-02,DWDP
2018-02,EA
2018-02,ESRX
2018-02,ETFC
2018-02,EVHC
2018-02,FBHS
2018-02,FL
2018-02,FLIR
2018-02,FOX
2018-02,FOXA
2018-02,GGP
2018-02,GPS
2018-02,HBI
2018-02,HES
2018-02,HOLX
2018-02,INFO
2018-02,IPG
2018-02,JNPR
2018-02,JWN
2018-02,K
2018-02,KSU
2018-02,LLL
2018-02,MON
2018-02,MRO
2018-02,NBL
2018-02,NFX
2018-02,NLSN
2018-02,PBCT
2018-02,PDCO
2018-02,PXD
2018-02,RHT
2018-02,RTN
2018-02,SCG
2018-02,SEE
2018-02,SNI
2018-02,SRCL
2018-02,STI
2018-02,TIF
2018-02,TSS
2018-02,TWX
2018-02,VAR
2018-02,VIAB
2018-02,WBA
2018-02,WYN
2018-02,XEC
2018-02,XL
2018-02,XLNX
2018-03,ADS
2018-03,AET
2018-03,AGN
2018-03,ALXN
2018-03,ANDV
2018-03,ANSS
2018-03,APC
2018-03,ARNC
2018-03,ATVI
2018-03,BF/B
2018-03,BK
2018-03,BRK/B
2018-03,CA
2018-03,CELG
2018-03,CERN
2018-03,CMA
2018-03,COL
2018-03,CSRA
2018-03,CTRA
2018-03,CTXS
2018-03,CXO
2018-03,DAY
2018-03,DFS
2018-03,DISCA
2018-03,DISCK
2018-03,DISH
2018-03,DPS
2018-03,DRE
2018-03,DWDP
2018-03,EA
2018-03,ESRX
2018-03,ETFC
2018-03,EVHC
2018-03,FBHS
2018-03,FL
2018-03,FLIR
2018-03,FOX
2018-03,FOXA
2018-03,GGP
2018-03,GPS
2018-03,HBI
2018-03,HES
2018-03,HOLX
2018-03,INFO
2018-03,IPG
2018-03,JNPR
2018-03,JWN
2018-03,K
2018-03,KSU
2018-03,LLL
2018-03,MON
2018-03,MRO
2018-03,NBL
2018-03,NFX
2018-03,NLSN
2018-03,PBCT
2018-03,PXD
2018-03,RHT
2018-03,RTN
2018-03,SCG
2018-03,SEE
2018-03,SIVB
2018-03,SRCL
2018-03,STI
2018-03,TIF
2018-03,TSS
2018-03,TWX
2018-03,VAR
2018-03,VIAB
2018-03,WBA
2018-03,WYN
2018-03,XEC
2018-03,XL
2018-03,XLNX
2018-04,ADS
2018-04,AET
2018-04,AGN
2018-04,ALXN
2018-04,ANDV
2018-04,ANSS
2018-04,APC
2018-04,ARNC
2018-04,ATVI
2018-04,BF/B
2018-04,BK
2018-04,BRK/B
2018-04,CA
2018-04,CELG
2018-04,CERN
2018-04,CMA
2018-04,COL
2018-04,CTRA
2018-04,CTXS
2018-04,CXO
2018-04,DAY
2018-04,DFS
2018-04,DISCA
2018-04,DISCK
2018-04,DISH
2018-04,DPS
2018-04,DRE
2018-04,DWDP
2018-04,EA
2018-04,ESRX
2018-04,ETFC
2018-04,EVHC
2018-04,FBHS
2018-04,FL
2018-04,FLIR
2018-04,FOX
2018-04,FOXA
2018-04,GGP
2018-04,GPS
2018-04,HBI
2018-04,HES
2018-04,HOLX
2018-04,INFO
2018-04,IPG
2018-04,JNPR
2018-04,JWN
2018-04,K
2018-04,KSU
2018-04,LLL
2018-04,MON
2018-04,MRO
2018-04,NBL
2018-04,NFX
2018-04,NLSN
2018-04,PBCT
2018-04,PXD
2018-04,RHT
2018-04,RTN
2018-04,SCG
2018-04,SEE
2018-04,SIVB
2018-04,SRCL
2018-04,STI
2018-04,TIF
2018-04,TSS
2018-04,TWX
2018-04,VAR
2018-04,VIAB
2018-04,WBA
2018-04,WYN
2018-04,XEC
2018-04,XL
2018-04,XLNX
2018-05,ABMD
2018-05,ADS
2018-05,AET
2018-05,AGN
2018-05,ALXN
2018-05,ANDV
2018-05,ANSS
2018-05,APC
2018-05,ARNC
2018-05,ATVI
2018-05,BF/B
2018-05,BK
2018-05,BRK/B
2018-05,CA
2018-05,CELG
2018-05,CERN
2018-05,CMA
2018-05,COL
2018-05,CTRA
2018-05,CTXS
2018-05,CXO
2018-05,DAY
2018-05,DFS
2018-05,DISCA
2018-05,DISCK
2018-05,DISH
2018-05,DPS
2018-05,DRE
2018-05,DWDP
2018-05,EA
2018-05,ESRX
2018-05,ETFC
2018-05,EVHC
2018-05,FBHS
2018-05,FL
2018-05,FLIR
2018-05,FOX
2018-05,FOXA
2018-05,GGP
2018-05,GPS
2018-05,HBI
2018-05,HES
2018-05,HOLX
2018-05,INFO
2018-05,IPG
2018-05,JNPR
2018-05,JWN
2018-05,K
2018-05,KSU
2018-05,LLL
2018-05,MON
2018-05,MRO
2018-05,NBL
2018-05,NFX
2018-05,NLSN
2018-05,PBCT
2018-05,PXD
2018-05,RHT
2018-05,RTN
2018-05,SCG
2018-05,SEE
2018-05,SIVB
2018-05,SRCL
2018-05,STI
2018-05,TIF
2018-05,TSS
2018-05,TWX
2018-05,VAR
2018-05,VIAB
2018-05,WBA
2018-05,XEC
2018-05,XL
2018-05,XLNX
2018-06,ABMD
2018-06,ADS
2018-06,AET
2018-06,AGN
2018-06,ALXN
2018-06,ANDV
2018-06,ANSS
2018-06,APC
2018-06,ARNC
2018-06,ATVI
2018-06,BF/B
2018-06,BK
2018-06,BRK/B
2018-06,CA
2018-06,CELG
2018-06,CERN
2018-06,CMA
2018-06,COL
2018-06,CTRA
2018-06,CTXS
2018-06,CXO
2018-06,DAY
2018-06,DFS
2018-06,DISCA
2018-06,DISCK
2018-06,DISH
2018-06,DPS
2018-06,DRE
2018-06,DWDP
2018-06,EA
2018-06,ESRX
2018-06,ETFC
2018-06,EVHC
2018-06,FBHS
2018-06,FL
2018-06,FLIR
2018-06,FOX
2018-06,FOXA
2018-06,GGP
2018-06,GPS
2018-06,HBI
2018-06,HES
2018-06,HFC
2018-06,HOLX
2018-06,INFO
2018-06,IPG
2018-06,JNPR
2018-06,JWN
2018-06,K
2018-06,KSU
2018-06,LLL
2018-06,MRO
2018-06,NBL
2018-06,NFX
