symbol,yahoo_symbol,missing_months,download_failed_entire_series
CTRA,CTRA,100,True
BK,BK,100,True
HOLX,HOLX,100,True
EA,EA,100,True
DAY,DAY,97,True
K,K,95,True
IPG,IPG,94,True
WBA,WBA,91,True
HES,HES,90,True
JNPR,JNPR,90,True
ANSS,ANSS,90,True
DFS,DFS,88,True
MRO,MRO,82,True
CMA,CMA,77,True
PXD,PXD,76,True
SEE,SEE,71,True
ATVI,ATVI,69,True
DISH,DISH,65,True
SIVB,SIVB,60,True
FBHS,FBHS,59,True
NLSN,NLSN,57,True
DRE,DRE,57,True
CTXS,CTXS,57,True
ABMD,ABMD,55,True
TWTR,TWTR,53,True
CERN,CERN,53,True
FRC,FRC,52,True
PBCT,PBCT,51,True
CTLT,CTLT,51,True
DISCK,DISCK,51,True
DISCA,DISCA,51,True
INFO,INFO,50,False
GPS,GPS,49,True
XLNX,XLNX,49,True
KSU,KSU,47,True
HBI,HBI,47,True
ALXN,ALXN,42,True
FLIR,FLIR,40,True
VAR,VAR,39,True
CXO,CXO,36,True
TIF,TIF,36,True
HFC,HFC,36,True
NBL,NBL,33,True
ETFC,ETFC,33,True
MXIM,MXIM,32,True
JWN,JWN,29,True
ADS,ADS,29,True
AGN,AGN,28,True
ARNC,ARNC,27,True
RTN,RTN,27,True
XEC,XEC,26,True
STI,STI,23,False
VIAB,VIAB,23,True
CELG,CELG,22,True
TSS,TSS,20,True
FL,FL,19,True
APC,APC,19,False
RHT,RHT,18,True
LLL,LLL,18,True
DWDP,DWDP,17,True
WCG,WCG,16,True
SBNY,SBNY,15,False
FOX,FOX,14,False
FOXA,FOXA,14,False
NFX,NFX,13,True
SCG,SCG,12,True
COL,COL,11,True
AET,AET,11,True
SRCL,SRCL,11,True
ESRX,ESRX,11,True
CA,CA,10,True
ANDV,ANDV,9,True
EVHC,EVHC,9,True
XL,XL,8,True
GGP,GGP,7,True
DPS,DPS,6,True
MON,MON,5,True
TWX,TWX,5,True
WYN,WYN,4,True
CSRA,CSRA,3,True
CHK,CHK,2,True
PDCO,PDCO,2,True
SATS,SATS,2,True
SNI,SNI,2,True
