month,hans_snapshot_date,hans_count,pierre_count,pierre_available,intersection_count,union_count,hans_only_count,pierre_only_count,jaccard,agreement_min_denominator
2018-01,2018-01-25,0,507,True,0,507,0,507,0.0,
2018-02,2018-02-28,0,507,True,0,507,0,507,0.0,
2018-03,2018-03-22,0,507,True,0,507,0,507,0.0,
2018-04,2018-04-24,0,507,True,0,507,0,507,0.0,
2018-05,2018-05-31,0,507,True,0,507,0,507,0.0,
2018-06,2018-06-26,0,506,True,0,506,0,506,0.0,
2018-07,2018-07-30,0,506,True,0,506,0,506,0.0,
2018-08,2018-08-30,0,506,True,0,506,0,506,0.0,
2018-09,2018-09-24,0,506,True,0,506,0,506,0.0,
2018-10,2018-10-31,0,506,True,0,506,0,506,0.0,
2018-11,2018-11-29,0,506,True,0,506,0,506,0.0,
2018-12,2018-12-24,0,506,True,0,506,0,506,0.0,
2019-01,2019-01-18,0,506,True,0,506,0,506,0.0,
2019-02,2019-02-27,0,506,True,0,506,0,506,0.0,
2019-03,2019-02-27,0,506,True,0,506,0,506,0.0,
2019-04,2019-04-02,0,506,True,0,506,0,506,0.0,
2019-05,2019-04-02,0,506,True,0,506,0,506,0.0,
2019-06,2019-06-07,0,506,True,0,506,0,506,0.0,
2019-07,2019-07-15,0,506,True,0,506,0,506,0.0,
2019-08,2019-08-09,0,506,True,0,506,0,506,0.0,
2019-09,2019-09-26,0,506,True,0,506,0,506,0.0,
2019-10,2019-10-18,0,506,True,0,506,0,506,0.0,
2019-11,2019-11-21,0,506,True,0,506,0,506,0.0,
2019-12,2019-12-23,0,506,True,0,506,0,506,0.0,
2020-01,2020-01-28,0,506,True,0,506,0,506,0.0,
2020-02,2020-01-28,0,506,True,0,506,0,506,0.0,
2020-03,2020-03-03,0,506,True,0,506,0,506,0.0,
2020-04,2020-04-06,0,506,True,0,506,0,506,0.0,
2020-05,2020-05-22,0,506,True,0,506,0,506,0.0,
2020-06,2020-06-22,0,506,True,0,506,0,506,0.0,
2020-07,2020-06-22,0,506,True,0,506,0,506,0.0,
2020-08,2020-06-22,0,506,True,0,506,0,506,0.0,
2020-09,2020-09-21,0,506,True,0,506,0,506,0.0,
2020-10,2020-10-12,0,506,True,0,506,0,506,0.0,
2020-11,2020-11-17,0,506,True,0,506,0,506,0.0,
2020-12,2020-12-21,0,506,True,0,506,0,506,0.0,
2021-01,2021-01-21,0,506,True,0,506,0,506,0.0,
2021-02,2021-02-12,0,506,True,0,506,0,506,0.0,
2021-03,2021-03-22,0,506,True,0,506,0,506,0.0,
2021-04,2021-04-20,0,506,True,0,506,0,506,0.0,
2021-05,2021-05-14,0,506,True,0,506,0,506,0.0,
2021-06,2021-06-04,0,506,True,0,506,0,506,0.0,
2021-07,2021-07-21,0,506,True,0,506,0,506,0.0,
2021-08,2021-08-30,0,506,True,0,506,0,506,0.0,
2021-09,2021-09-20,0,505,True,0,505,0,505,0.0,
2021-10,2021-10-04,0,505,True,0,505,0,505,0.0,
2021-11,2021-10-04,0,505,True,0,505,0,505,0.0,
2021-12,2021-12-20,0,505,True,0,505,0,505,0.0,
2022-01,2022-01-20,0,505,True,0,505,0,505,0.0,
2022-02,2022-02-17,0,505,True,0,505,0,505,0.0,
2022-03,2022-03-02,0,505,True,0,505,0,505,0.0,
2022-04,2022-04-11,0,504,True,0,504,0,504,0.0,
2022-05,2022-05-10,0,504,True,0,504,0,504,0.0,
2022-06,2022-06-28,0,503,True,0,503,0,503,0.0,
2022-07,2022-06-28,0,503,True,0,503,0,503,0.0,
2022-08,2022-06-28,0,503,True,0,503,0,503,0.0,
2022-09,2022-09-19,0,503,True,0,503,0,503,0.0,
2022-10,2022-10-12,0,503,True,0,503,0,503,0.0,
2022-11,2022-11-08,0,503,True,0,503,0,503,0.0,
2022-12,2022-12-22,0,503,True,0,503,0,503,0.0,
2023-01,2023-01-04,0,503,True,0,503,0,503,0.0,
2023-02,2023-01-04,0,503,True,0,503,0,503,0.0,
2023-03,2023-03-20,0,503,True,0,503,0,503,0.0,
2023-04,2023-03-20,0,503,True,0,503,0,503,0.0,
2023-05,2023-05-31,0,503,True,0,503,0,503,0.0,
2023-06,2023-06-30,0,503,True,0,503,0,503,0.0,
2023-07,2023-07-31,0,503,True,0,503,0,503,0.0,
2023-08,2023-08-31,0,503,True,0,503,0,503,0.0,
2023-09,2023-09-30,0,503,True,0,503,0,503,0.0,
2023-10,2023-10-31,0,503,True,0,503,0,503,0.0,
2023-11,2023-11-30,0,503,True,0,503,0,503,0.0,
2023-12,2023-12-31,0,503,True,0,503,0,503,0.0,
2024-01,2024-01-31,0,503,True,0,503,0,503,0.0,
2024-02,2024-02-29,0,503,True,0,503,0,503,0.0,
2024-03,2024-03-31,0,503,True,0,503,0,503,0.0,
2024-04,2024-04-30,0,503,True,0,503,0,503,0.0,
2024-05,2024-05-31,0,503,True,0,503,0,503,0.0,
2024-06,2024-06-30,0,503,True,0,503,0,503,0.0,
2024-07,2024-07-31,0,503,True,0,503,0,503,0.0,
2024-08,2024-08-31,0,503,True,0,503,0,503,0.0,
2024-09,2024-09-30,0,504,True,0,504,0,504,0.0,
2024-10,2024-10-31,0,503,True,0,503,0,503,0.0,
2024-11,2024-11-30,0,503,True,0,503,0,503,0.0,
2024-12,2024-12-31,0,503,True,0,503,0,503,0.0,
2025-01,2025-01-31,0,503,True,0,503,0,503,0.0,
2025-02,2025-02-28,0,503,True,0,503,0,503,0.0,
2025-03,2025-03-31,0,503,True,0,503,0,503,0.0,
2025-04,2025-04-30,0,503,True,0,503,0,503,0.0,
2025-05,2025-05-31,0,503,True,0,503,0,503,0.0,
2025-06,2025-06-30,0,503,True,0,503,0,503,0.0,
2025-07,2025-07-31,0,503,True,0,503,0,503,0.0,
2025-08,2025-08-23,0,503,True,0,503,0,503,0.0,
2025-09,2025-08-23,0,503,True,0,503,0,503,0.0,
2025-10,2025-08-23,0,503,True,0,503,0,503,0.0,
2025-11,2025-08-23,0,503,True,0,503,0,503,0.0,
2025-12,2025-08-23,0,503,True,0,503,0,503,0.0,
2026-01,2025-08-23,0,503,True,0,503,0,503,0.0,
2026-02,2025-08-23,0,503,True,0,503,0,503,0.0,
2026-03,2025-08-23,0,503,True,0,503,0,503,0.0,
2026-04,2025-08-23,0,503,True,0,503,0,503,0.0,
