month,symbol,side
2018-01,ABC,hans_only
2018-01,ANTM,hans_only
2018-01,BBT,hans_only
2018-01,BF-B,hans_only
2018-01,BLL,hans_only
2018-01,BRK-B,hans_only
2018-01,CBS,hans_only
2018-01,COG,hans_only
2018-01,CTL,hans_only
2018-01,FB,hans_only
2018-01,HRS,hans_only
2018-01,JEC,hans_only
2018-01,KDP,hans_only
2018-01,KORS,hans_only
2018-01,LB,hans_only
2018-01,MMC,hans_only
2018-01,MYL,hans_only
2018-01,PKI,hans_only
2018-01,RE,hans_only
2018-01,SYMC,hans_only
2018-01,TMK,hans_only
2018-01,UTX,hans_only
2018-01,WLTW,hans_only
2018-01,WRK,hans_only
2018-01,AGN,pierre_only
2018-01,ARNC,pierre_only
2018-01,BALL,pierre_only
2018-01,BBWI,pierre_only
2018-01,BF/B,pierre_only
2018-01,BKR,pierre_only
2018-01,BRK/B,pierre_only
2018-01,CHK,pierre_only
2018-01,COR,pierre_only
2018-01,CPAY,pierre_only
2018-01,CTRA,pierre_only
2018-01,DAY,pierre_only
2018-01,DOC,pierre_only
2018-01,DPS,pierre_only
2018-01,EG,pierre_only
2018-01,ELV,pierre_only
2018-01,FOX,pierre_only
2018-01,FOXA,pierre_only
2018-01,GEN,pierre_only
2018-01,GL,pierre_only
2018-01,J,pierre_only
2018-01,LHX,pierre_only
2018-01,LIN,pierre_only
2018-01,LLL,pierre_only
2018-01,LUMN,pierre_only
2018-01,META,pierre_only
2018-01,MON,pierre_only
2018-01,MRSH,pierre_only
2018-01,PSKY,pierre_only
2018-01,RTX,pierre_only
2018-01,RVTY,pierre_only
2018-01,SIG,pierre_only
2018-01,SW,pierre_only
2018-01,TFC,pierre_only
2018-01,TT,pierre_only
2018-01,VTRS,pierre_only
2018-01,WTW,pierre_only
2018-01,WYN,pierre_only
2018-01,XL,pierre_only
2018-02,ABC,hans_only
2018-02,ANTM,hans_only
2018-02,BBT,hans_only
2018-02,BF-B,hans_only
2018-02,BLL,hans_only
2018-02,BRK-B,hans_only
2018-02,CBS,hans_only
2018-02,COG,hans_only
2018-02,CTL,hans_only
2018-02,FB,hans_only
2018-02,HRS,hans_only
2018-02,JEC,hans_only
2018-02,KDP,hans_only
2018-02,KORS,hans_only
2018-02,LB,hans_only
2018-02,MMC,hans_only
2018-02,MYL,hans_only
2018-02,PKI,hans_only
2018-02,RE,hans_only
2018-02,SYMC,hans_only
2018-02,TMK,hans_only
2018-02,UTX,hans_only
2018-02,WLTW,hans_only
2018-02,WRK,hans_only
2018-02,AGN,pierre_only
2018-02,ARNC,pierre_only
2018-02,BALL,pierre_only
2018-02,BBWI,pierre_only
2018-02,BF/B,pierre_only
2018-02,BKR,pierre_only
2018-02,BRK/B,pierre_only
2018-02,CHK,pierre_only
2018-02,COR,pierre_only
2018-02,CPAY,pierre_only
2018-02,CTRA,pierre_only
2018-02,DAY,pierre_only
2018-02,DOC,pierre_only
2018-02,DPS,pierre_only
2018-02,EG,pierre_only
2018-02,ELV,pierre_only
2018-02,FOX,pierre_only
2018-02,FOXA,pierre_only
2018-02,GEN,pierre_only
2018-02,GL,pierre_only
2018-02,J,pierre_only
2018-02,LHX,pierre_only
2018-02,LIN,pierre_only
2018-02,LLL,pierre_only
2018-02,LUMN,pierre_only
2018-02,META,pierre_only
2018-02,MON,pierre_only
2018-02,MRSH,pierre_only
2018-02,PSKY,pierre_only
2018-02,RTX,pierre_only
2018-02,RVTY,pierre_only
2018-02,SIG,pierre_only
2018-02,SW,pierre_only
2018-02,TFC,pierre_only
2018-02,TT,pierre_only
2018-02,VTRS,pierre_only
2018-02,WTW,pierre_only
2018-02,WYN,pierre_only
2018-02,XL,pierre_only
2018-03,ABC,hans_only
2018-03,ANTM,hans_only
2018-03,BBT,hans_only
2018-03,BF-B,hans_only
2018-03,BLL,hans_only
2018-03,BRK-B,hans_only
2018-03,CBS,hans_only
2018-03,COG,hans_only
2018-03,CTL,hans_only
2018-03,FB,hans_only
2018-03,HRS,hans_only
2018-03,JEC,hans_only
2018-03,KDP,hans_only
2018-03,KORS,hans_only
2018-03,LB,hans_only
2018-03,MMC,hans_only
2018-03,MYL,hans_only
2018-03,PKI,hans_only
2018-03,RE,hans_only
2018-03,SYMC,hans_only
2018-03,TMK,hans_only
2018-03,UTX,hans_only
2018-03,WLTW,hans_only
2018-03,WRK,hans_only
2018-03,AGN,pierre_only
2018-03,ARNC,pierre_only
2018-03,BALL,pierre_only
2018-03,BBWI,pierre_only
2018-03,BF/B,pierre_only
2018-03,BKR,pierre_only
2018-03,BRK/B,pierre_only
2018-03,COR,pierre_only
2018-03,CPAY,pierre_only
2018-03,CTRA,pierre_only
2018-03,DAY,pierre_only
2018-03,DOC,pierre_only
2018-03,DPS,pierre_only
2018-03,EG,pierre_only
2018-03,ELV,pierre_only
2018-03,FOX,pierre_only
2018-03,FOXA,pierre_only
2018-03,GEN,pierre_only
2018-03,GL,pierre_only
2018-03,J,pierre_only
2018-03,LHX,pierre_only
2018-03,LIN,pierre_only
2018-03,LLL,pierre_only
2018-03,LUMN,pierre_only
2018-03,META,pierre_only
2018-03,MON,pierre_only
2018-03,MRSH,pierre_only
2018-03,PSKY,pierre_only
2018-03,RTX,pierre_only
2018-03,RVTY,pierre_only
2018-03,SW,pierre_only
2018-03,TFC,pierre_only
2018-03,TT,pierre_only
2018-03,VTRS,pierre_only
2018-03,WTW,pierre_only
2018-03,WYN,pierre_only
2018-03,XL,pierre_only
2018-04,ABC,hans_only
2018-04,ANTM,hans_only
2018-04,BBT,hans_only
2018-04,BF-B,hans_only
2018-04,BLL,hans_only
2018-04,BRK-B,hans_only
2018-04,CBS,hans_only
2018-04,COG,hans_only
2018-04,CTL,hans_only
2018-04,FB,hans_only
2018-04,HRS,hans_only
2018-04,JEC,hans_only
2018-04,KDP,hans_only
2018-04,KORS,hans_only
2018-04,LB,hans_only
2018-04,MMC,hans_only
2018-04,MYL,hans_only
2018-04,PKI,hans_only
2018-04,RE,hans_only
2018-04,SYMC,hans_only
2018-04,TMK,hans_only
2018-04,UTX,hans_only
2018-04,WLTW,hans_only
2018-04,WRK,hans_only
2018-04,AGN,pierre_only
2018-04,ARNC,pierre_only
2018-04,BALL,pierre_only
2018-04,BBWI,pierre_only
2018-04,BF/B,pierre_only
2018-04,BKR,pierre_only
2018-04,BRK/B,pierre_only
2018-04,COR,pierre_only
2018-04,CPAY,pierre_only
2018-04,CTRA,pierre_only
2018-04,DAY,pierre_only
2018-04,DOC,pierre_only
2018-04,DPS,pierre_only
2018-04,EG,pierre_only
2018-04,ELV,pierre_only
2018-04,FOX,pierre_only
2018-04,FOXA,pierre_only
2018-04,GEN,pierre_only
2018-04,GL,pierre_only
2018-04,J,pierre_only
2018-04,LHX,pierre_only
2018-04,LIN,pierre_only
2018-04,LLL,pierre_only
2018-04,LUMN,pierre_only
2018-04,META,pierre_only
2018-04,MON,pierre_only
2018-04,MRSH,pierre_only
2018-04,PSKY,pierre_only
2018-04,RTX,pierre_only
2018-04,RVTY,pierre_only
2018-04,SW,pierre_only
2018-04,TFC,pierre_only
2018-04,TT,pierre_only
2018-04,VTRS,pierre_only
2018-04,WTW,pierre_only
2018-04,WYN,pierre_only
2018-04,XL,pierre_only
2018-05,ABC,hans_only
2018-05,ANTM,hans_only
2018-05,BBT,hans_only
2018-05,BF-B,hans_only
2018-05,BLL,hans_only
2018-05,BRK-B,hans_only
2018-05,CBS,hans_only
2018-05,COG,hans_only
2018-05,CTL,hans_only
2018-05,FB,hans_only
2018-05,HRS,hans_only
2018-05,JEC,hans_only
2018-05,KDP,hans_only
2018-05,KORS,hans_only
2018-05,LB,hans_only
2018-05,MMC,hans_only
2018-05,MYL,hans_only
2018-05,PKI,hans_only
2018-05,RE,hans_only
2018-05,SYMC,hans_only
2018-05,TMK,hans_only
2018-05,UTX,hans_only
2018-05,WLTW,hans_only
2018-05,WRK,hans_only
2018-05,AGN,pierre_only
2018-05,ARNC,pierre_only
2018-05,BALL,pierre_only
2018-05,BBWI,pierre_only
2018-05,BF/B,pierre_only
2018-05,BKR,pierre_only
2018-05,BRK/B,pierre_only
2018-05,COR,pierre_only
2018-05,CPAY,pierre_only
2018-05,CTRA,pierre_only
2018-05,DAY,pierre_only
2018-05,DOC,pierre_only
2018-05,DPS,pierre_only
2018-05,EG,pierre_only
2018-05,ELV,pierre_only
2018-05,FOX,pierre_only
2018-05,FOXA,pierre_only
2018-05,GEN,pierre_only
2018-05,GL,pierre_only
2018-05,J,pierre_only
2018-05,LHX,pierre_only
2018-05,LIN,pierre_only
2018-05,LLL,pierre_only
2018-05,LUMN,pierre_only
2018-05,META,pierre_only
2018-05,MON,pierre_only
2018-05,MRSH,pierre_only
2018-05,PSKY,pierre_only
2018-05,RTX,pierre_only
2018-05,RVTY,pierre_only
2018-05,SW,pierre_only
2018-05,TFC,pierre_only
2018-05,TT,pierre_only
2018-05,VTRS,pierre_only
2018-05,WTW,pierre_only
2018-05,XL,pierre_only
2018-06,ABC,hans_only
2018-06,ANTM,hans_only
2018-06,BBT,hans_only
2018-06,BF-B,hans_only
2018-06,BLL,hans_only
2018-06,BRK-B,hans_only
2018-06,CBS,hans_only
2018-06,COG,hans_only
2018-06,CTL,hans_only
2018-06,FB,hans_only
2018-06,FLT,hans_only
2018-06,HRS,hans_only
2018-06,JEC,hans_only
2018-06,KDP,hans_only
2018-06,KORS,hans_only
2018-06,LB,hans_only
2018-06,MMC,hans_only
2018-06,MYL,hans_only
2018-06,PKI,hans_only
2018-06,RE,hans_only
2018-06,SYMC,hans_only
2018-06,TMK,hans_only
2018-06,UTX,hans_only
2018-06,WLTW,hans_only
2018-06,WRK,hans_only
2018-06,AGN,pierre_only
2018-06,ARNC,pierre_only
2018-06,BALL,pierre_only
2018-06,BBWI,pierre_only
2018-06,BF/B,pierre_only
2018-06,BKR,pierre_only
2018-06,BRK/B,pierre_only
2018-06,COR,pierre_only
2018-06,CPAY,pierre_only
2018-06,CTRA,pierre_only
2018-06,DAY,pierre_only
2018-06,DOC,pierre_only
2018-06,DPS,pierre_only
2018-06,EG,pierre_only
2018-06,ELV,pierre_only
2018-06,FOX,pierre_only
2018-06,FOXA,pierre_only
2018-06,GEN,pierre_only
2018-06,GL,pierre_only
2018-06,J,pierre_only
2018-06,LHX,pierre_only
2018-06,LIN,pierre_only
2018-06,LLL,pierre_only
2018-06,LUMN,pierre_only
2018-06,META,pierre_only
2018-06,MRSH,pierre_only
2018-06,PSKY,pierre_only
2018-06,RTX,pierre_only
2018-06,RVTY,pierre_only
2018-06,SW,pierre_only
2018-06,TFC,pierre_only
2018-06,TT,pierre_only
2018-06,VTRS,pierre_only
2018-06,WTW,pierre_only
2018-06,XL,pierre_only
2018-07,ABC,hans_only
2018-07,ANTM,hans_only
2018-07,BBT,hans_only
2018-07,BF-B,hans_only
2018-07,BLL,hans_only
2018-07,BRK-B,hans_only
2018-07,CBS,hans_only
2018-07,COG,hans_only
2018-07,CTL,hans_only
2018-07,FB,hans_only
2018-07,FLT,hans_only
2018-07,HRS,hans_only
2018-07,JEC,hans_only
2018-07,KORS,hans_only
2018-07,LB,hans_only
2018-07,MMC,hans_only
2018-07,MYL,hans_only
2018-07,PKI,hans_only
2018-07,RE,hans_only
2018-07,SYMC,hans_only
2018-07,TMK,hans_only
2018-07,UTX,hans_only
2018-07,WLTW,hans_only
2018-07,WRK,hans_only
2018-07,AGN,pierre_only
2018-07,ARNC,pierre_only
2018-07,BALL,pierre_only
2018-07,BBWI,pierre_only
2018-07,BF/B,pierre_only
2018-07,BKR,pierre_only
2018-07,BRK/B,pierre_only
2018-07,COR,pierre_only
2018-07,CPAY,pierre_only
2018-07,CTRA,pierre_only
2018-07,DAY,pierre_only
2018-07,DOC,pierre_only
2018-07,EG,pierre_only
2018-07,ELV,pierre_only
2018-07,FOX,pierre_only
2018-07,FOXA,pierre_only
2018-07,GEN,pierre_only
2018-07,GL,pierre_only
2018-07,J,pierre_only
2018-07,LHX,pierre_only
2018-07,LIN,pierre_only
2018-07,LLL,pierre_only
2018-07,LUMN,pierre_only
2018-07,META,pierre_only
2018-07,MRSH,pierre_only
2018-07,PSKY,pierre_only
2018-07,RTX,pierre_only
2018-07,RVTY,pierre_only
2018-07,SW,pierre_only
2018-07,TFC,pierre_only
2018-07,TT,pierre_only
2018-07,VTRS,pierre_only
2018-07,WTW,pierre_only
2018-07,XL,pierre_only
2018-08,ABC,hans_only
2018-08,ANTM,hans_only
2018-08,BBT,hans_only
2018-08,BF-B,hans_only
2018-08,BLL,hans_only
2018-08,BRK-B,hans_only
2018-08,CBS,hans_only
2018-08,COG,hans_only
2018-08,CTL,hans_only
2018-08,FB,hans_only
2018-08,FLT,hans_only
2018-08,HRS,hans_only
2018-08,JEC,hans_only
2018-08,KORS,hans_only
2018-08,LB,hans_only
2018-08,MMC,hans_only
2018-08,MYL,hans_only
2018-08,PKI,hans_only
2018-08,RE,hans_only
2018-08,SYMC,hans_only
2018-08,TMK,hans_only
2018-08,UTX,hans_only
2018-08,WLTW,hans_only
2018-08,WRK,hans_only
2018-08,AGN,pierre_only
2018-08,ARNC,pierre_only
2018-08,BALL,pierre_only
2018-08,BBWI,pierre_only
2018-08,BF/B,pierre_only
2018-08,BKR,pierre_only
2018-08,BRK/B,pierre_only
2018-08,COR,pierre_only
2018-08,CPAY,pierre_only
2018-08,CTRA,pierre_only
2018-08,DAY,pierre_only
2018-08,DOC,pierre_only
2018-08,EG,pierre_only
2018-08,ELV,pierre_only
2018-08,FOX,pierre_only
2018-08,FOXA,pierre_only
2018-08,GEN,pierre_only
2018-08,GL,pierre_only
2018-08,J,pierre_only
2018-08,LHX,pierre_only
2018-08,LIN,pierre_only
2018-08,LLL,pierre_only
2018-08,LUMN,pierre_only
2018-08,META,pierre_only
2018-08,MRSH,pierre_only
2018-08,PSKY,pierre_only
2018-08,RTX,pierre_only
2018-08,RVTY,pierre_only
2018-08,SW,pierre_only
2018-08,TFC,pierre_only
2018-08,TT,pierre_only
2018-08,VTRS,pierre_only
2018-08,WTW,pierre_only
2018-08,XL,pierre_only
2018-09,ABC,hans_only
2018-09,ANTM,hans_only
2018-09,BBT,hans_only
2018-09,BF-B,hans_only
2018-09,BLL,hans_only
2018-09,BRK-B,hans_only
2018-09,CBS,hans_only
2018-09,COG,hans_only
2018-09,CTL,hans_only
2018-09,FB,hans_only
2018-09,FLT,hans_only
2018-09,HRS,hans_only
2018-09,JEC,hans_only
2018-09,LB,hans_only
2018-09,MMC,hans_only
2018-09,MYL,hans_only
2018-09,PKI,hans_only
2018-09,RE,hans_only
2018-09,SYMC,hans_only
2018-09,TMK,hans_only
2018-09,UTX,hans_only
2018-09,WLTW,hans_only
2018-09,WRK,hans_only
2018-09,AGN,pierre_only
2018-09,ARNC,pierre_only
2018-09,BALL,pierre_only
