effective_date,added,deleted,source,source_http_ok,source_http_status,hans_pre_snapshot,hans_post_snapshot,hans_post_snapshot_lag_days,hans_pre_snapshot_available,hans_post_snapshot_available,hans_added_absent_pre,hans_added_present_post,hans_deleted_present_pre,hans_deleted_absent_post,hans_pass,pierre_month,pierre_added_present,pierre_deleted_absent,pierre_pass,both_sources_pass
2018-05-31,ABMD,WYN,https://press.spglobal.com/2018-05-25-ABIOMED-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,True,200,2018-05-24,2018-05-31,0,True,True,True,True,False,True,False,2018-05,True,True,True,False
2018-12-03,LW,COL,https://press.spglobal.com/2018-11-26-Lamb-Weston-Holdings-Maxim-Integrated-Products-and-Diamondback-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,True,200,2018-11-29,2018-12-03,0,True,True,True,True,False,True,False,2018-12,True,True,True,False
2018-12-03,MXIM,AET,https://press.spglobal.com/2018-11-26-Lamb-Weston-Holdings-Maxim-Integrated-Products-and-Diamondback-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,True,200,2018-11-29,2018-12-03,0,True,True,True,True,False,True,False,2018-12,True,True,True,False
2019-09-23,CDW,TSS,https://press.spglobal.com/2019-09-17-CDW-Set-to-Join-S-P-500,True,200,2019-08-09,2019-09-23,0,True,True,True,True,True,True,True,2019-09,True,True,True,True
2019-09-26,NVR,JEF,https://press.spglobal.com/2019-09-20-NVR-Set-to-Join-S-P-500-Jefferies-Financial-Group-II-VI-to-Join-S-P-MidCap-400-Callon-Petroleum-PriceSmart-to-Join-S-P-SmallCap-600,True,200,2019-09-23,2019-09-26,0,True,True,True,True,True,True,True,2019-09,True,True,True,True
2019-10-03,LVS,NKTR,https://press.spglobal.com/2019-09-26-Las-Vegas-Sands-Set-to-Join-S-P-500-Nektar-Therapeutics-to-Join-S-P-MidCap-400-The-Pennant-Group-to-Join-S-P-SmallCap-600,True,200,2019-09-26,2019-10-03,0,True,True,True,True,True,True,True,2019-10,True,True,True,True
2020-09-21,ETSY,HRB,https://press.spglobal.com/2020-09-04-Etsy-Teradyne-and-Catalent-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,True,200,2020-09-18,2020-09-21,0,True,True,True,True,True,True,True,2020-09,True,True,True,True
2020-09-21,TER,COTY,https://press.spglobal.com/2020-09-04-Etsy-Teradyne-and-Catalent-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,True,200,2020-09-18,2020-09-21,0,True,True,True,True,True,True,True,2020-09,True,True,True,True
2020-09-21,CTLT,KSS,https://press.spglobal.com/2020-09-04-Etsy-Teradyne-and-Catalent-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,True,200,2020-09-18,2020-09-21,0,True,True,True,True,True,True,True,2020-09,True,True,True,True
2020-10-07,POOL,ETFC,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20201001-1231161/1231161_dlph400etfc500.pdf,False,403,2020-09-21,2020-10-07,0,True,True,True,True,True,True,True,2020-10,True,True,True,True
2021-03-22,NXPI,FLS,https://press.spglobal.com/2021-03-12-NXP-Semiconductors-Penn-National-Gaming-Generac-Holdings-and-Caesars-Entertainment-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-S-P-SmallCap-600-and-S-P-100,True,200,2021-02-12,2021-03-22,0,True,True,True,True,True,True,True,2021-03,True,True,True,True
2021-03-22,PENN,SLG,https://press.spglobal.com/2021-03-12-NXP-Semiconductors-Penn-National-Gaming-Generac-Holdings-and-Caesars-Entertainment-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-S-P-SmallCap-600-and-S-P-100,True,200,2021-02-12,2021-03-22,0,True,True,True,True,True,True,True,2021-03,True,True,True,True
2021-03-22,GNRC,XRX,https://press.spglobal.com/2021-03-12-NXP-Semiconductors-Penn-National-Gaming-Generac-Holdings-and-Caesars-Entertainment-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-S-P-SmallCap-600-and-S-P-100,True,200,2021-02-12,2021-03-22,0,True,True,True,True,True,True,True,2021-03,True,True,True,True
2021-03-22,CZR,VNT,https://press.spglobal.com/2021-03-12-NXP-Semiconductors-Penn-National-Gaming-Generac-Holdings-and-Caesars-Entertainment-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-S-P-SmallCap-600-and-S-P-100,True,200,2021-02-12,2021-03-22,0,True,True,True,True,True,True,True,2021-03,True,True,True,True
2022-02-03,CEG,GPS,https://press.spglobal.com/2022-01-26-Constellation-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,True,200,2022-02-02,2022-02-15,12,True,True,True,False,False,True,False,2022-02,True,True,True,False
2023-03-15,PODD,SIVB,https://press.spglobal.com/2023-03-10-Insulet-Set-to-Join-S-P-500,True,200,2023-01-04,2023-03-15,0,True,True,True,True,True,True,True,2023-03,True,True,True,True
2023-03-15,BG,SBNY,https://press.spglobal.com/2023-03-13-Bunge-Set-to-Join-S-P-500,True,200,2023-01-04,2023-03-15,0,True,True,True,True,True,True,True,2023-03,True,True,True,True
2023-10-18,LULU,ATVI,https://press.spglobal.com/2023-10-13-Lululemon-Athletica-Hubbell-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,True,200,2023-10-17,2023-10-18,0,True,True,True,True,False,True,False,2023-10,True,True,True,False
2023-10-18,HUBB,OGN,https://press.spglobal.com/2023-10-13-Lululemon-Athletica-Hubbell-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,True,200,2023-10-17,2023-10-18,0,True,True,True,True,True,True,True,2023-10,True,True,True,True
2024-03-18,SMCI,WHR,https://press.spglobal.com/2024-03-01-Super-Micro-Computer-and-Deckers-Outdoor-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,True,200,2024-03-17,2024-03-18,0,True,True,True,True,True,True,True,2024-03,True,True,True,True
2024-03-18,DECK,ZION,https://press.spglobal.com/2024-03-01-Super-Micro-Computer-and-Deckers-Outdoor-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,True,200,2024-03-17,2024-03-18,0,True,True,True,True,True,True,True,2024-03,True,True,True,True
2024-06-24,KKR,RHI,https://press.spglobal.com/2024-06-07-KKR%2C-CrowdStrike-Holdings-and-GoDaddy-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,True,200,2024-06-23,2024-06-24,0,True,True,False,True,False,True,False,2024-06,True,True,True,False
2024-06-24,CRWD,CMA,https://press.spglobal.com/2024-06-07-KKR%2C-CrowdStrike-Holdings-and-GoDaddy-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,True,200,2024-06-23,2024-06-24,0,True,True,False,True,False,True,False,2024-06,True,True,True,False
2024-06-24,GDDY,ILMN,https://press.spglobal.com/2024-06-07-KKR%2C-CrowdStrike-Holdings-and-GoDaddy-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,True,200,2024-06-23,2024-06-24,0,True,True,False,True,False,True,False,2024-06,True,True,True,False
2024-09-23,PLTR,AAL,https://press.spglobal.com/2024-09-06-Palantir-Technologies%2C-Dell-Technologies%2C-and-Erie-Indemnity-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,True,200,2024-09-22,2024-09-23,0,True,True,False,True,False,True,False,2024-09,True,True,True,False
2024-09-23,DELL,ETSY,https://press.spglobal.com/2024-09-06-Palantir-Technologies%2C-Dell-Technologies%2C-and-Erie-Indemnity-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,True,200,2024-09-22,2024-09-23,0,True,True,False,True,False,True,False,2024-09,True,True,True,False
2024-09-23,ERIE,BIO,https://press.spglobal.com/2024-09-06-Palantir-Technologies%2C-Dell-Technologies%2C-and-Erie-Indemnity-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,True,200,2024-09-22,2024-09-23,0,True,True,False,True,False,True,False,2024-09,True,True,True,False
2024-12-23,APO,QRVO,https://press.spglobal.com/2024-12-06-Apollo-Global-Management-and-Workday-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,True,200,2024-12-22,2024-12-23,0,True,True,True,False,True,False,False,2024-12,True,True,True,False
2024-12-23,WDAY,AMTM,https://press.spglobal.com/2024-12-06-Apollo-Global-Management-and-Workday-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,True,200,2024-12-22,2024-12-23,0,True,True,True,False,True,False,False,2024-12,True,True,True,False
2025-05-19,COIN,DFS,https://press.spglobal.com/2025-05-12-Coinbase-Global-Set-to-Join-S-P-500,True,200,2025-05-18,2025-05-19,0,True,True,False,True,False,True,False,2025-05,True,True,True,False
