month,pitindex_members,pierre_members,intersection,union,jaccard,pit_only,pierre_only
2018-01,506,507,477,536,0.8899253731343284,ABC;ANTM;BBT;BF-B;BHGE;BLL;BRK-B;CBS;COG;CTL;FB;HCP;HRS;IR;JEC;KDP;KORS;LB;MMC;MYL;PKI;PX;RE;SYMC;TMK;UTX;WLTW;WRK;WYND,BALL;BBWI;BF/B;BKR;BRK/B;COR;CPAY;CTRA;DAY;DOC;DPS;EG;ELV;GEN;GL;J;LHX;LIN;LUMN;META;MRSH;PSKY;RTX;RVTY;SW;TFC;TT;VTRS;WTW;WYN
2018-02,506,507,477,536,0.8899253731343284,ABC;ANTM;BBT;BF-B;BHGE;BLL;BRK-B;CBS;COG;CTL;FB;HCP;HRS;IR;JEC;KDP;KORS;LB;MMC;MYL;PKI;PX;RE;SYMC;TMK;UTX;WLTW;WRK;WYND,BALL;BBWI;BF/B;BKR;BRK/B;COR;CPAY;CTRA;DAY;DOC;DPS;EG;ELV;GEN;GL;J;LHX;LIN;LUMN;META;MRSH;PSKY;RTX;RVTY;SW;TFC;TT;VTRS;WTW;WYN
2018-03,506,507,477,536,0.8899253731343284,ABC;ANTM;BBT;BF-B;BHGE;BLL;BRK-B;CBS;COG;CTL;FB;HCP;HRS;IR;JEC;KDP;KORS;LB;MMC;MYL;PKI;PX;RE;SYMC;TMK;UTX;WLTW;WRK;WYND,BALL;BBWI;BF/B;BKR;BRK/B;COR;CPAY;CTRA;DAY;DOC;DPS;EG;ELV;GEN;GL;J;LHX;LIN;LUMN;META;MRSH;PSKY;RTX;RVTY;SW;TFC;TT;VTRS;WTW;WYN
2018-04,506,507,477,536,0.8899253731343284,ABC;ANTM;BBT;BF-B;BHGE;BLL;BRK-B;CBS;COG;CTL;FB;HCP;HRS;IR;JEC;KDP;KORS;LB;MMC;MYL;PKI;PX;RE;SYMC;TMK;UTX;WLTW;WRK;WYND,BALL;BBWI;BF/B;BKR;BRK/B;COR;CPAY;CTRA;DAY;DOC;DPS;EG;ELV;GEN;GL;J;LHX;LIN;LUMN;META;MRSH;PSKY;RTX;RVTY;SW;TFC;TT;VTRS;WTW;WYN
2018-05,506,507,478,535,0.8934579439252337,ABC;ANTM;BBT;BF-B;BHGE;BLL;BRK-B;CBS;COG;CTL;FB;HCP;HRS;IR;JEC;KDP;KORS;LB;MMC;MYL;PKI;PX;RE;SYMC;TMK;UTX;WLTW;WRK,BALL;BBWI;BF/B;BKR;BRK/B;COR;CPAY;CTRA;DAY;DOC;DPS;EG;ELV;GEN;GL;J;LHX;LIN;LUMN;META;MRSH;PSKY;RTX;RVTY;SW;TFC;TT;VTRS;WTW
2018-06,506,506,477,535,0.891588785046729,ABC;ANTM;BBT;BF-B;BHGE;BLL;BRK-B;CBS;COG;CTL;FB;FLT;HCP;HRS;IR;JEC;KDP;KORS;LB;MMC;MYL;PKI;PX;RE;SYMC;TMK;UTX;WLTW;WRK,BALL;BBWI;BF/B;BKR;BRK/B;COR;CPAY;CTRA;DAY;DOC;DPS;EG;ELV;GEN;GL;J;LHX;LIN;LUMN;META;MRSH;PSKY;RTX;RVTY;SW;TFC;TT;VTRS;WTW
2018-07,506,506,478,534,0.8951310861423221,ABC;ANTM;BBT;BF-B;BHGE;BLL;BRK-B;CBS;COG;CTL;FB;FLT;HCP;HRS;IR;JEC;KORS;LB;MMC;MYL;PKI;PX;RE;SYMC;TMK;UTX;WLTW;WRK,BALL;BBWI;BF/B;BKR;BRK/B;COR;CPAY;CTRA;DAY;DOC;EG;ELV;GEN;GL;J;LHX;LIN;LUMN;META;MRSH;PSKY;RTX;RVTY;SW;TFC;TT;VTRS;WTW
2018-08,506,506,478,534,0.8951310861423221,ABC;ANTM;BBT;BF-B;BHGE;BLL;BRK-B;CBS;COG;CTL;FB;FLT;HCP;HRS;IR;JEC;KORS;LB;MMC;MYL;PKI;PX;RE;SYMC;TMK;UTX;WLTW;WRK,BALL;BBWI;BF/B;BKR;BRK/B;COR;CPAY;CTRA;DAY;DOC;EG;ELV;GEN;GL;J;LHX;LIN;LUMN;META;MRSH;PSKY;RTX;RVTY;SW;TFC;TT;VTRS;WTW
2018-09,505,506,478,533,0.8968105065666041,ABC;ANTM;BBT;BF-B;BHGE;BLL;BRK-B;CBS;COG;CTL;FB;FLT;HCP;HRS;IR;JEC;LB;MMC;MYL;PKI;PX;RE;SYMC;TMK;UTX;WLTW;WRK,BALL;BBWI;BF/B;BKR;BRK/B;COR;CPAY;CTRA;DAY;DOC;EG;ELV;GEN;GL;J;LHX;LIN;LUMN;META;MRSH;PSKY;RTX;RVTY;SW;TFC;TT;VTRS;WTW
2018-10,505,506,479,532,0.900375939849624,ABC;ANTM;BBT;BF-B;BHGE;BLL;BRK-B;CBS;COG;CTL;FB;FLT;HCP;HRS;IR;JEC;LB;MMC;MYL;PKI;RE;SYMC;TMK;UTX;WLTW;WRK,BALL;BBWI;BF/B;BKR;BRK/B;COR;CPAY;CTRA;DAY;DOC;EG;ELV;GEN;GL;J;LHX;LUMN;META;MRSH;PSKY;RTX;RVTY;SW;TFC;TT;VTRS;WTW
