GICS Sector,avg_weight,max_weight,months_present
Information Technology,0.1729869899037419,0.5106301239406887,72
Financials,0.13698263107503283,0.4132853256714654,60
Industrials,0.12185306435788058,0.41351052458855886,56
Health Care,0.11029295369102451,0.5080611104145548,49
Energy,0.08350241349843927,0.4136371596850138,34
Consumer Discretionary,0.08097465805643524,0.4893698760593109,40
Consumer Staples,0.07969880079977074,0.4666666666666666,40
Communication Services,0.07661482287959719,0.4666666666666664,39
Real Estate,0.054670753651373055,0.41340375420208303,32
Utilities,0.04178179714721587,0.35315800893711047,23
Materials,0.04064111493948823,0.3489229592709662,25
