Symbol,Security,GICS Sector,months_selected,avg_weight,max_weight,avg_score
V,Visa Inc.,Financials,30,0.09712674608797407,0.2333333333333332,74.76432870019696
NVDA,Nvidia,Information Technology,27,0.07876471692491352,0.14,77.7383004130201
ANET,Arista Networks,Information Technology,24,0.08369945161270596,0.175,75.38716320577782
AVGO,Broadcom,Information Technology,23,0.08451118061828519,0.1266672832482156,74.2478355111626
CPRT,Copart,Industrials,22,0.13060731484642502,0.35,75.41757549507827
GOOGL,Alphabet Inc. (Class A),Communication Services,20,0.11610980207607902,0.175,73.46515060513435
DECK,Deckers Brands,Consumer Discretionary,20,0.11119200951315877,0.2333333333333332,79.43297080137575
REGN,Regeneron Pharmaceuticals,Health Care,19,0.09424855652156512,0.175,74.23621306806115
FTNT,Fortinet,Information Technology,19,0.08371203492220629,0.1200002565453026,77.88498089636283
GOOG,Alphabet Inc. (Class C),Communication Services,18,0.12098717218212779,0.175,74.45547252049451
KLAC,KLA Corporation,Information Technology,17,0.0788688696981649,0.14,73.74737979884938
LRCX,Lam Research,Information Technology,16,0.07805610466837058,0.1263559234087788,74.70773091316144
CF,CF Industries,Materials,14,0.10323794150542184,0.1744614796354831,72.04549043472846
ABBV,AbbVie,Health Care,14,0.09901015785274063,0.14,75.99046177247094
MO,Altria,Consumer Staples,13,0.13847619878150513,0.2333333333333333,73.22129971848386
NFLX,Netflix,Communication Services,13,0.13669061680723796,0.2333333333333333,72.86608619472752
CMG,Chipotle Mexican Grill,Consumer Discretionary,13,0.09431648152248574,0.175,76.3633498569398
MA,Mastercard,Financials,13,0.07267343731893168,0.1200003401397733,71.38341498244776
VRSN,Verisign,Information Technology,11,0.12628083328636605,0.35,72.2498761787689
EME,Emcor,Industrials,11,0.12211857947112942,0.175,72.15910012214363
SNA,Snap-on,Industrials,11,0.12097029284973061,0.175,70.94228671514857
CSGP,CoStar Group,Real Estate,11,0.11924466279065539,0.2333333333333332,76.92183367639217
VRTX,Vertex Pharmaceuticals,Health Care,11,0.11620970644433522,0.35,75.76406473510036
