yahoo_symbol,first_missing_month,last_missing_month,required_membership_start,required_membership_end,required_signal_lookback_start,required_exit_buffer_end,tiingo_rows_for_symbol,tiingo_metadata_candidate,tiingo_ticker,tiingo_exchange,tiingo_asset_type,tiingo_price_currency,tiingo_start_date,tiingo_end_date,covers_membership_window,covers_signal_lookback,covers_exit_buffer,covers_full_backtest_window
ABMD,2018-05,2022-11,2018-05-01,2022-11-30,2017-03-27,2023-01-14,1,True,ABMD,NASDAQ,Stock,USD,1987-07-30,2023-01-03,True,True,False,False
ADS,2018-01,2020-05,2018-01-01,2020-05-31,2016-11-27,2020-07-15,0,False,,,,,,,False,False,False,False
AET,2018-01,2018-11,2018-01-01,2018-11-30,2016-11-27,2019-01-14,1,True,AET,NYSE,Stock,USD,1977-01-03,2018-11-28,False,True,False,False
AGN,2018-01,2020-04,2018-01-01,2020-04-30,2016-11-27,2020-06-14,1,True,AGN,NYSE,Stock,USD,1989-06-22,2020-05-08,True,True,False,False
ALXN,2018-01,2021-06,2018-01-01,2021-06-30,2016-11-27,2021-08-14,1,True,ALXN,NASDAQ,Stock,USD,1996-02-28,2021-07-28,True,True,False,False
ANDV,2018-01,2018-09,2018-01-01,2018-09-30,2016-11-27,2018-11-14,1,True,ANDV,NYSE,Stock,USD,1983-04-06,2018-09-28,False,True,False,False
ANSS,2018-01,2025-06,2018-01-01,2025-06-30,2016-11-27,2025-08-14,1,True,ANSS,NASDAQ,Stock,USD,1996-06-21,2026-08-20,True,True,True,True
ARNC,2018-01,2020-03,2018-01-01,2020-03-31,2016-11-27,2020-05-15,1,True,ARNC,NYSE,Stock,USD,2020-04-01,2023-08-17,False,False,True,False
ATVI,2018-01,2023-09,2018-01-01,2023-09-30,2016-11-27,2023-11-14,1,True,ATVI,NASDAQ,Stock,USD,1993-10-25,2023-10-13,True,True,False,False
BK,2018-01,2026-04,2018-01-01,2026-04-30,2016-11-27,2026-06-14,0,False,,,,,,,False,False,False,False
CA,2018-01,2018-10,2018-01-01,2018-10-31,2016-11-27,2018-12-15,2,True,CA,NASDAQ,Stock,USD,1984-09-07,2018-11-06,True,True,False,False
CELG,2018-01,2019-10,2018-01-01,2019-10-31,2016-11-27,2019-12-15,1,True,CELG,NASDAQ,Stock,USD,1990-03-26,2019-11-22,True,True,False,False
CERN,2018-01,2022-05,2018-01-01,2022-05-31,2016-11-27,2022-07-15,1,True,CERN,NASDAQ,Stock,USD,1990-03-26,2022-09-08,True,True,True,True
CHK,2018-01,2018-02,2018-01-01,2018-02-28,2016-11-27,2018-04-14,1,True,CHK,NASDAQ,Stock,USD,1993-02-16,2024-10-04,True,True,True,True
CMA,2018-01,2024-05,2018-01-01,2024-05-31,2016-11-27,2024-07-15,1,True,CMA,NYSE,Stock,USD,1990-03-26,2026-01-30,True,True,True,True
COL,2018-01,2018-11,2018-01-01,2018-11-30,2016-11-27,2019-01-14,1,True,COL,NYSE,Stock,USD,2001-06-15,2018-11-26,False,True,False,False
CSRA,2018-01,2018-03,2018-01-01,2018-03-31,2016-11-27,2018-05-15,2,True,CSRA,NYSE,Stock,USD,2015-11-30,2018-04-04,True,True,False,False
CTLT,2020-09,2024-11,2020-09-01,2024-11-30,2019-07-28,2025-01-14,1,True,CTLT,NYSE,Stock,USD,2014-07-31,2024-12-18,True,True,False,False
CTRA,2018-01,2026-04,2018-01-01,2026-04-30,2016-11-27,2026-06-14,2,True,CTRA,NYSE,Stock,USD,1990-02-08,2026-05-06,True,True,False,False
CTXS,2018-01,2022-09,2018-01-01,2022-09-30,2016-11-27,2022-11-14,1,True,CTXS,NASDAQ,Stock,USD,1995-12-08,2022-11-02,True,True,False,False
CXO,2018-01,2020-12,2018-01-01,2020-12-31,2016-11-27,2021-02-14,1,True,CXO,NYSE,Stock,USD,2007-08-03,2021-01-15,True,True,False,False
DAY,2018-01,2026-01,2018-01-01,2026-01-31,2016-11-27,2026-03-17,1,True,DAY,NYSE,Stock,USD,2018-04-26,2026-02-03,False,False,False,False
DFS,2018-01,2025-04,2018-01-01,2025-04-30,2016-11-27,2025-06-14,1,True,DFS,NYSE,Stock,USD,2007-06-14,2025-05-16,True,True,False,False
DISCA,2018-01,2022-03,2018-01-01,2022-03-31,2016-11-27,2022-05-15,1,True,DISCA,NASDAQ,Stock,USD,2022-04-06,2022-09-16,False,False,True,False
DISCK,2018-01,2022-03,2018-01-01,2022-03-31,2016-11-27,2022-05-15,1,True,DISCK,NASDAQ,Stock,USD,2008-09-18,2022-09-16,True,True,True,True
DISH,2018-01,2023-05,2018-01-01,2023-05-31,2016-11-27,2023-07-15,1,True,DISH,NASDAQ,Stock,USD,1995-06-21,2024-01-09,True,True,True,True
DPS,2018-01,2018-06,2018-01-01,2018-06-30,2016-11-27,2018-08-14,1,True,DPS,NYSE,Stock,USD,2008-05-07,2018-07-09,True,True,False,False
DRE,2018-01,2022-09,2018-01-01,2022-09-30,2016-11-27,2022-11-14,1,True,DRE,NYSE,Stock,USD,1987-11-05,2022-10-03,True,True,False,False
DWDP,2018-01,2019-05,2018-01-01,2019-05-31,2016-11-27,2019-07-15,0,False,,,,,,,False,False,False,False
EA,2018-01,2026-04,2018-01-01,2026-04-30,2016-11-27,2026-06-14,1,True,EA,NASDAQ,Stock,USD,1990-03-26,2026-08-04,True,True,True,True
ESRX,2018-01,2018-11,2018-01-01,2018-11-30,2016-11-27,2019-01-14,1,True,ESRX,NASDAQ,Stock,USD,1992-06-09,2018-12-20,True,True,False,False
ETFC,2018-01,2020-09,2018-01-01,2020-09-30,2016-11-27,2020-11-14,1,True,ETFC,NASDAQ,Stock,USD,1996-08-16,2020-10-02,True,True,False,False
EVHC,2018-01,2018-09,2018-01-01,2018-09-30,2016-11-27,2018-11-14,1,True,EVHC,NYSE,Stock,USD,2013-08-14,2018-12-14,True,True,True,True
FBHS,2018-01,2022-11,2018-01-01,2022-11-30,2016-11-27,2023-01-14,0,False,,,,,,,False,False,False,False
FL,2018-01,2019-07,2018-01-01,2019-07-31,2016-11-27,2019-09-14,1,True,FL,NYSE,Stock,USD,1970-01-02,2026-08-20,True,True,True,True
FLIR,2018-01,2021-04,2018-01-01,2021-04-30,2016-11-27,2021-06-14,1,True,FLIR,NASDAQ,Stock,USD,1993-06-22,2021-05-14,True,True,False,False
FRC,2019-01,2023-04,2019-01-01,2023-04-30,2017-11-27,2023-06-14,0,False,,,,,,,False,False,False,False
GGP,2018-01,2018-07,2018-01-01,2018-07-31,2016-11-27,2018-09-14,1,True,GGP,NYSE,Stock,USD,1993-04-08,2018-08-28,True,True,False,False
GPS,2018-01,2022-01,2018-01-01,2022-01-31,2016-11-27,2022-03-17,0,False,,,,,,,False,False,False,False
HBI,2018-01,2021-11,2018-01-01,2021-11-30,2016-11-27,2022-01-14,1,True,HBI,NYSE,Stock,USD,2006-09-06,2026-08-20,True,True,True,True
HES,2018-01,2025-06,2018-01-01,2025-06-30,2016-11-27,2025-08-14,1,True,HES,NYSE,Stock,USD,1983-04-06,2025-07-18,True,True,False,False
HFC,2018-06,2021-05,2018-06-01,2021-05-31,2017-04-26,2021-07-15,0,False,,,,,,,False,False,False,False
HOLX,2018-01,2026-04,2018-01-01,2026-04-30,2016-11-27,2026-06-14,1,True,HOLX,NASDAQ,Stock,USD,1990-03-26,2026-04-07,False,True,False,False
IPG,2018-01,2025-10,2018-01-01,2025-10-31,2016-11-27,2025-12-15,1,True,IPG,NYSE,Stock,USD,1987-11-05,2025-11-26,True,True,False,False
JNPR,2018-01,2025-06,2018-01-01,2025-06-30,2016-11-27,2025-08-14,1,True,JNPR,NYSE,Stock,USD,1999-06-25,2025-07-02,True,True,False,False
JWN,2018-01,2020-05,2018-01-01,2020-05-31,2016-11-27,2020-07-15,1,True,JWN,NYSE,Stock,USD,1986-07-09,2025-05-20,True,True,True,True
K,2018-01,2025-11,2018-01-01,2025-11-30,2016-11-27,2026-01-14,1,True,K,NYSE,Stock,USD,1984-12-17,2025-12-11,True,True,False,False
KSU,2018-01,2021-11,2018-01-01,2021-11-30,2016-11-27,2022-01-14,1,True,KSU,NYSE,Stock,USD,1987-11-05,2021-12-13,True,True,False,False
LLL,2018-01,2019-06,2018-01-01,2019-06-30,2016-11-27,2019-08-14,1,True,LLL,NYSE,ETF,USD,1998-05-19,2019-06-28,False,True,False,False
MON,2018-01,2018-05,2018-01-01,2018-05-31,2016-11-27,2018-07-15,2,True,MON,NYSE,Stock,USD,2000-10-18,2018-06-08,True,True,False,False
MRO,2018-01,2024-10,2018-01-01,2024-10-31,2016-11-27,2024-12-15,1,True,MRO,NYSE,Stock,USD,1970-01-02,2024-11-22,True,True,False,False
MXIM,2018-12,2021-07,2018-12-01,2021-07-31,2017-10-27,2021-09-14,1,True,MXIM,NASDAQ,Stock,USD,1990-03-26,2021-09-01,True,True,False,False
NBL,2018-01,2020-09,2018-01-01,2020-09-30,2016-11-27,2020-11-14,1,True,NBL,NYSE,Stock,USD,1982-01-04,2020-10-06,True,True,False,False
NFX,2018-01,2019-01,2018-01-01,2019-01-31,2016-11-27,2019-03-17,2,True,NFX,NYSE,Stock,USD,1993-11-12,2019-02-14,True,True,False,False
NLSN,2018-01,2022-09,2018-01-01,2022-09-30,2016-11-27,2022-11-14,1,True,NLSN,NYSE,Stock,USD,2011-01-27,2022-10-11,True,True,False,False
PBCT,2018-01,2022-03,2018-01-01,2022-03-31,2016-11-27,2022-05-15,1,True,PBCT,NASDAQ,Stock,USD,1990-03-26,2022-04-04,True,True,False,False
PDCO,2018-01,2018-02,2018-01-01,2018-02-28,2016-11-27,2018-04-14,1,True,PDCO,NASDAQ,Stock,USD,1992-10-28,2025-04-17,True,True,True,True
PXD,2018-01,2024-04,2018-01-01,2024-04-30,2016-11-27,2024-06-14,1,True,PXD,NYSE,Stock,USD,1997-08-08,2024-05-03,True,True,False,False
RHT,2018-01,2019-06,2018-01-01,2019-06-30,2016-11-27,2019-08-14,1,True,RHT,NYSE,Stock,USD,1999-08-11,2019-07-08,True,True,False,False
RTN,2018-01,2020-03,2018-01-01,2020-03-31,2016-11-27,2020-05-15,1,True,RTN,NYSE,Stock,USD,1981-12-31,2020-04-03,True,True,False,False
SATS,2026-03,2026-04,2026-03-01,2026-04-30,2025-01-25,2026-06-14,0,False,,,,,,,False,False,False,False
SCG,2018-01,2018-12,2018-01-01,2018-12-31,2016-11-27,2019-02-14,1,True,SCG,NYSE,Stock,USD,1987-12-30,2018-12-31,True,True,False,False
SEE,2018-01,2023-11,2018-01-01,2023-11-30,2016-11-27,2024-01-14,1,True,SEE,NYSE,Stock,USD,1987-12-30,2026-04-09,True,True,True,True
SIVB,2018-03,2023-02,2018-03-01,2023-02-28,2017-01-25,2023-04-14,0,False,,,,,,,False,False,False,False
SNI,2018-01,2018-02,2018-01-01,2018-02-28,2016-11-27,2018-04-14,1,True,SNI,NYSE,Stock,USD,2008-06-12,2018-03-16,True,True,False,False
SRCL,2018-01,2018-11,2018-01-01,2018-11-30,2016-11-27,2019-01-14,1,True,SRCL,NASDAQ,Stock,USD,1996-08-23,2024-11-04,True,True,True,True
TIF,2018-01,2020-12,2018-01-01,2020-12-31,2016-11-27,2021-02-14,1,True,TIF,NYSE,Stock,USD,1987-12-30,2021-01-08,True,True,False,False
TSS,2018-01,2019-08,2018-01-01,2019-08-31,2016-11-27,2019-10-15,1,True,TSS,NYSE,ETF,USD,1989-06-30,2019-09-17,True,True,False,False
TWTR,2018-06,2022-10,2018-06-01,2022-10-31,2017-04-26,2022-12-15,1,True,TWTR,NYSE,Stock,USD,2013-11-07,2022-10-28,False,True,False,False
TWX,2018-01,2018-05,2018-01-01,2018-05-31,2016-11-27,2018-07-15,1,True,TWX,NYSE,Stock,USD,1992-03-19,2018-06-15,True,True,False,False
VAR,2018-01,2021-03,2018-01-01,2021-03-31,2016-11-27,2021-05-15,1,True,VAR,NYSE,Stock,USD,1988-01-05,2021-04-16,True,True,False,False
VIAB,2018-01,2019-11,2018-01-01,2019-11-30,2016-11-27,2020-01-14,1,True,VIAB,NASDAQ,Stock,USD,2005-12-05,2019-12-04,True,True,False,False
WBA,2018-01,2025-07,2018-01-01,2025-07-31,2016-11-27,2025-09-14,1,True,WBA,NASDAQ,Stock,USD,1985-07-01,2025-08-28,True,True,False,False
WCG,2018-09,2019-12,2018-09-01,2019-12-31,2017-07-27,2020-02-14,1,True,WCG,NYSE,Stock,USD,2004-07-01,2020-01-23,True,True,False,False
WYN,2018-01,2018-04,2018-01-01,2018-04-30,2016-11-27,2018-06-14,1,True,WYN,NYSE,Stock,USD,2006-07-19,2018-05-31,True,True,False,False
XEC,2018-01,2020-02,2018-01-01,2020-02-29,2016-11-27,2020-04-14,1,True,XEC,NYSE,Stock,USD,2002-09-25,2021-10-04,True,True,True,True
XL,2018-01,2018-08,2018-01-01,2018-08-31,2016-11-27,2018-10-15,1,True,XL,NYSE,Stock,USD,1991-07-19,2018-09-13,True,True,False,False
XLNX,2018-01,2022-01,2018-01-01,2022-01-31,2016-11-27,2022-03-17,1,True,XLNX,NASDAQ,Stock,USD,1990-06-18,2022-02-14,True,True,False,False
