strategy,annualized_active_mean,block_months,bootstrap_reps,active_mean_ci025,active_mean_ci50,active_mean_ci975,bootstrap_prob_active_gt_0
full_dynamic_n10_invvol,0.01216511888987724,12,10000,-0.04571718365800234,0.011348495934713872,0.07359996268287275,0.6448
full_dynamic_n10_equal,0.01732993089814514,12,10000,-0.03507680505842557,0.01643752344877128,0.07253348777195774,0.7255
full_dynamic_n10_score,0.016989976657954292,12,10000,-0.033175879095699586,0.016739788122237913,0.07126273384268994,0.7346
full_dynamic_n5_invvol,-0.023428960366801203,12,10000,-0.10292662471056592,-0.024060124360623936,0.056116895829094245,0.2804
full_dynamic_n20_invvol,-0.007293110406828158,12,10000,-0.049136003355788126,-0.007421624420450542,0.03800461000644929,0.3733
full_dynamic_strict_12_30,0.004900857154413843,12,10000,-0.040273247257406185,0.004505126273667264,0.05189563234573661,0.5742
static_neutral_n10_invvol,0.020794436790055895,12,10000,-0.057743072115434495,0.022830636498489272,0.09478442563038866,0.7086
dynamic_no_macro_sector_n10,0.028912329999219225,12,10000,-0.02606698902955292,0.02945504774906361,0.07931436233782956,0.8552
no_sector_rotation_n10,0.004173154266183897,12,10000,-0.050826848138793776,0.003996940144708489,0.059945545676000245,0.5595
no_momentum_n10,-0.015809188439402662,12,10000,-0.08171511951210068,-0.016539753123665204,0.05646140055112508,0.3195
no_quality_n10,-0.009855458649048777,12,10000,-0.07834742128592816,-0.009187443028763733,0.05725342788623284,0.3978
no_value_n10,-0.07358211385023522,12,10000,-0.13060544965372448,-0.07353644041870197,-0.017153396881344644,0.005
no_growth_n10,0.03418591236332026,12,10000,-0.03464202761526047,0.03240190408176814,0.11786360756575774,0.8137
no_low_vol_n10,0.04813904696176374,12,10000,-0.009753504331732245,0.0477457737813229,0.10952572435777792,0.9447
hyp_no_growth_low_vol_n10,0.058104391826169305,12,10000,0.0004195736738046512,0.05794947092482075,0.12099719753352262,0.9755
hyp_no_growth_low_vol_macro_sector_n10,0.07950463467315147,12,10000,0.01180074855714746,0.07922268456663514,0.14789311460515298,0.9898
hyp_static_neutral_no_growth_low_vol_n10,0.058986298437078026,12,10000,0.0005452343527519121,0.05990197082361372,0.1186124149093132,0.976
hyp_no_growth_low_vol_macro_sector_n10_equal,0.09684096769630564,12,10000,0.027105968312674825,0.09666564508320022,0.17095939059542048,0.9972
hyp_no_growth_low_vol_macro_sector_n10_score,0.09785969763374594,12,10000,0.028532817905032898,0.0974516796681546,0.16941935383770226,0.9983
