component,left_strategy,right_strategy,available,months,annualized_mean_return_delta,ci025,ci50,ci975,bootstrap_probability_delta_gt_0,block_months,bootstrap_reps,interpretation,note
value_factor,full_dynamic_n10_invvol,no_value_n10,True,102,0.08574728194589157,0.03274322990512039,0.08603022537326085,0.13958975074716648,0.99945,12,20000,Effect of retaining the value ranking factor,"Paired circular-block bootstrap on realized monthly net-return difference; diagnostic, not a correction for historical-universe or macro-vintage bias."
momentum_factor,full_dynamic_n10_invvol,no_momentum_n10,True,102,0.027974290204399406,-0.010887701131760338,0.02797783676417951,0.06649697115302121,0.92115,12,20000,Effect of retaining the momentum ranking factor,"Paired circular-block bootstrap on realized monthly net-return difference; diagnostic, not a correction for historical-universe or macro-vintage bias."
quality_factor,full_dynamic_n10_invvol,no_quality_n10,True,102,0.02202054506392051,-0.018853233903329974,0.022159680130484666,0.06034953640136432,0.8595,12,20000,Effect of retaining the original quality ranking factor,"Paired circular-block bootstrap on realized monthly net-return difference; diagnostic, not a correction for historical-universe or macro-vintage bias."
growth_factor,full_dynamic_n10_invvol,no_growth_n10,True,102,-0.02202070417244887,-0.06827493283351242,-0.02226734597729662,0.02474556210192656,0.17915,12,20000,Effect of retaining the standalone growth ranking factor,"Paired circular-block bootstrap on realized monthly net-return difference; diagnostic, not a correction for historical-universe or macro-vintage bias."
low_vol_ranking_factor,full_dynamic_n10_invvol,no_low_vol_n10,True,102,-0.035973950586512995,-0.08008148493254778,-0.03625030138242232,0.009838462330743473,0.06205,12,20000,Effect of retaining low-vol in ranking; both sides still use inverse-vol allocation,"Paired circular-block bootstrap on realized monthly net-return difference; diagnostic, not a correction for historical-universe or macro-vintage bias."
sector_rotation_factor,full_dynamic_n10_invvol,no_sector_rotation_n10,True,102,0.007992113563548547,-0.04846818654817279,0.007139459564886045,0.07053590855422043,0.59325,12,20000,Effect of retaining sector-rotation ranking factor,"Paired circular-block bootstrap on realized monthly net-return difference; diagnostic, not a correction for historical-universe or macro-vintage bias."
macro_sector_tilt,full_dynamic_n10_invvol,dynamic_no_macro_sector_n10,True,102,-0.01674723652776932,-0.051063387462369984,-0.017061704126491446,0.02054971644506341,0.18415,12,20000,"Effect of direct macro-sector score/tilt, holding dynamic regime factor weights","Paired circular-block bootstrap on realized monthly net-return difference; diagnostic, not a correction for historical-universe or macro-vintage bias."
dynamic_regime_factor_weights,dynamic_no_macro_sector_n10,static_neutral_n10_invvol,True,102,0.008117910038000147,-0.037560297954437376,0.006880882905071039,0.060690637431704435,0.6073,12,20000,Effect of regime-varying factor weights after direct macro-sector tilt is removed in the base factor set,"Paired circular-block bootstrap on realized monthly net-return difference; diagnostic, not a correction for historical-universe or macro-vintage bias."
dynamic_regime_weights_best_factor_set,hyp_no_growth_low_vol_macro_sector_n10,hyp_static_neutral_no_growth_low_vol_n10,True,102,0.02051826111944409,-0.0069819535481415234,0.02023026236392668,0.049130709237338796,0.9239,12,20000,"Effect of regime-varying factor weights with growth, low-vol ranking and direct macro-sector tilt all removed","Paired circular-block bootstrap on realized monthly net-return difference; diagnostic, not a correction for historical-universe or macro-vintage bias."
inverse_vol_allocation_base,full_dynamic_n10_invvol,full_dynamic_n10_equal,True,102,-0.005164831745023744,-0.024540588072274588,-0.005118017190177276,0.014405345289934207,0.30465,12,20000,Inverse-vol allocation versus equal-weight allocation under base ranking,"Paired circular-block bootstrap on realized monthly net-return difference; diagnostic, not a correction for historical-universe or macro-vintage bias."
inverse_vol_vs_score_allocation_base,full_dynamic_n10_invvol,full_dynamic_n10_score,True,102,-0.004824876596672259,-0.024434067755668212,-0.004887807017192068,0.0143777705045115,0.3135,12,20000,Inverse-vol allocation versus score-proportional allocation under base ranking,"Paired circular-block bootstrap on realized monthly net-return difference; diagnostic, not a correction for historical-universe or macro-vintage bias."
score_vs_invvol_best_factor_set,hyp_no_growth_low_vol_macro_sector_n10_score,hyp_no_growth_low_vol_macro_sector_n10,True,102,0.01835508118315106,-0.010214473321008118,0.018378998014378773,0.04692850627037963,0.8925,12,20000,Score-proportional versus inverse-vol allocation under the best-discovered factor set,"Paired circular-block bootstrap on realized monthly net-return difference; diagnostic, not a correction for historical-universe or macro-vintage bias."
equal_vs_invvol_best_factor_set,hyp_no_growth_low_vol_macro_sector_n10_equal,hyp_no_growth_low_vol_macro_sector_n10,True,102,0.01733634655973863,-0.010430058996594323,0.01730472856028676,0.04500195298410903,0.88655,12,20000,Equal-weight versus inverse-vol allocation under the best-discovered factor set,"Paired circular-block bootstrap on realized monthly net-return difference; diagnostic, not a correction for historical-universe or macro-vintage bias."
qmj_quality_replacement,hyp_qmj_proxy_no_growth_low_vol_macro_sector_n10_score,hyp_no_growth_low_vol_macro_sector_n10_score,True,102,-0.030478489386148874,-0.08008199939382182,-0.029745603234900338,0.015877352066624786,0.10615,12,20000,"QMJ-inspired quality proxy versus the original quality factor, holding the discovered factor set and score allocation fixed","Paired circular-block bootstrap on realized monthly net-return difference; diagnostic, not a correction for historical-universe or macro-vintage bias."
