strategy,metric,bucket,threshold_median,months,avg_monthly_return,avg_monthly_excess_vs_spy,negative_month_rate
hyp_no_growth_low_vol_macro_sector_n10_score,max_sector_weight,low,0.40516837965345087,51,0.02763717613047353,0.007837884135997184,0.3137254901960784
hyp_no_growth_low_vol_macro_sector_n10_score,max_sector_weight,high,0.40516837965345087,51,0.013052220787093768,0.008472065469627138,0.4117647058823529
hyp_no_growth_low_vol_macro_sector_n10_score,max_stock_weight,low,0.10712582592983565,51,0.008754755641492301,0.005991570294514311,0.47058823529411764
hyp_no_growth_low_vol_macro_sector_n10_score,max_stock_weight,high,0.10712582592983565,51,0.031934641276074996,0.010318379311110014,0.2549019607843137
hyp_no_growth_low_vol_macro_sector_n10_score,traded_notional,low,0.8131501633083857,51,0.018877426214184492,0.009071423435331091,0.39215686274509803
hyp_no_growth_low_vol_macro_sector_n10_score,traded_notional,high,0.8131501633083857,51,0.02181197070338281,0.007238526170293231,0.3333333333333333
hyp_static_neutral_no_growth_low_vol_n10,max_sector_weight,low,0.4608898900093822,51,0.01797570558586197,0.008258271302480077,0.3333333333333333
hyp_static_neutral_no_growth_low_vol_n10,max_sector_weight,high,0.4608898900093822,51,0.016234791465594017,0.0015727784370329256,0.4117647058823529
hyp_static_neutral_no_growth_low_vol_n10,max_stock_weight,low,0.1514201769342876,51,0.014932410794198388,0.000422912903495896,0.37254901960784315
hyp_static_neutral_no_growth_low_vol_n10,max_stock_weight,high,0.1514201769342876,51,0.019278086257257597,0.009408136836017107,0.37254901960784315
hyp_static_neutral_no_growth_low_vol_n10,traded_notional,low,0.8891603006050708,51,0.008267997111099289,0.0042303262439264,0.39215686274509803
hyp_static_neutral_no_growth_low_vol_n10,traded_notional,high,0.8891603006050708,51,0.025942499940356696,0.005600723495586602,0.35294117647058826
full_dynamic_n10_score,max_sector_weight,low,0.4010022867935734,51,0.01732557470323762,0.0016858887371857137,0.37254901960784315
full_dynamic_n10_score,max_sector_weight,high,0.4010022867935734,51,0.009885535385031074,0.001145774039140002,0.3333333333333333
full_dynamic_n10_score,max_stock_weight,low,0.10594492091297825,51,0.011164307778716121,0.00549036044152811,0.3333333333333333
full_dynamic_n10_score,max_stock_weight,high,0.10594492091297825,51,0.01604680230955258,-0.002658697665202394,0.37254901960784315
full_dynamic_n10_score,traded_notional,low,0.9832433168764798,51,0.005906184173476115,-0.0004970720247071941,0.35294117647058826
full_dynamic_n10_score,traded_notional,high,0.9832433168764798,51,0.021304925914792584,0.003328734801032911,0.35294117647058826
