strategy,signal_date,execution_date,Symbol,Security,GICS Sector,score,weight
full_dynamic_n10_invvol,2018-01-31,2018-02-01,SPGI,S&P Global,Financials,77.95223399882852,0.15855260628605267
full_dynamic_n10_invvol,2018-01-31,2018-02-01,GOOG,Alphabet Inc. (Class C),Communication Services,76.12883889877347,0.14932033597922476
full_dynamic_n10_invvol,2018-01-31,2018-02-01,MA,Mastercard,Financials,77.06214136031934,0.12016159405041711
full_dynamic_n10_invvol,2018-01-31,2018-02-01,FTNT,Fortinet,Information Technology,77.48815303914809,0.11991625254895194
full_dynamic_n10_invvol,2018-01-31,2018-02-01,MSCI,MSCI,Financials,75.69958440713268,0.10548645387603858
full_dynamic_n10_invvol,2018-01-31,2018-02-01,URI,United Rentals,Industrials,79.96457970172438,0.09759548621165258
full_dynamic_n10_invvol,2018-01-31,2018-02-01,CPRT,Copart,Industrials,77.13992345075043,0.07252730248009814
full_dynamic_n10_invvol,2018-01-31,2018-02-01,NVDA,Nvidia,Information Technology,85.99570208567013,0.06832932841629202
full_dynamic_n10_invvol,2018-01-31,2018-02-01,NTAP,NetApp,Information Technology,78.8322675166832,0.057847451081862115
full_dynamic_n10_invvol,2018-01-31,2018-02-01,ANET,Arista Networks,Information Technology,83.74501062919013,0.05026318906941007
full_dynamic_n10_equal,2018-01-31,2018-02-01,NVDA,Nvidia,Information Technology,85.99570208567013,0.1
full_dynamic_n10_equal,2018-01-31,2018-02-01,ANET,Arista Networks,Information Technology,83.74501062919013,0.1
full_dynamic_n10_equal,2018-01-31,2018-02-01,URI,United Rentals,Industrials,79.96457970172438,0.1
full_dynamic_n10_equal,2018-01-31,2018-02-01,NTAP,NetApp,Information Technology,78.8322675166832,0.1
full_dynamic_n10_equal,2018-01-31,2018-02-01,SPGI,S&P Global,Financials,77.95223399882852,0.1
full_dynamic_n10_equal,2018-01-31,2018-02-01,FTNT,Fortinet,Information Technology,77.48815303914809,0.1
full_dynamic_n10_equal,2018-01-31,2018-02-01,CPRT,Copart,Industrials,77.13992345075043,0.1
full_dynamic_n10_equal,2018-01-31,2018-02-01,MA,Mastercard,Financials,77.06214136031934,0.1
full_dynamic_n10_equal,2018-01-31,2018-02-01,GOOG,Alphabet Inc. (Class C),Communication Services,76.12883889877347,0.1
full_dynamic_n10_equal,2018-01-31,2018-02-01,MSCI,MSCI,Financials,75.69958440713268,0.1
full_dynamic_n10_score,2018-01-31,2018-02-01,NVDA,Nvidia,Information Technology,85.99570208567013,0.10885415682437236
full_dynamic_n10_score,2018-01-31,2018-02-01,ANET,Arista Networks,Information Technology,83.74501062919013,0.10600521071631129
full_dynamic_n10_score,2018-01-31,2018-02-01,URI,United Rentals,Industrials,79.96457970172438,0.10121990620618464
full_dynamic_n10_score,2018-01-31,2018-02-01,NTAP,NetApp,Information Technology,78.8322675166832,0.09978661494656066
full_dynamic_n10_score,2018-01-31,2018-02-01,SPGI,S&P Global,Financials,77.95223399882852,0.09867266036232078
full_dynamic_n10_score,2018-01-31,2018-02-01,FTNT,Fortinet,Information Technology,77.48815303914809,0.09808522238182808
full_dynamic_n10_score,2018-01-31,2018-02-01,CPRT,Copart,Industrials,77.13992345075043,0.0976444301409721
full_dynamic_n10_score,2018-01-31,2018-02-01,MA,Mastercard,Financials,77.06214136031934,0.09754597284991495
full_dynamic_n10_score,2018-01-31,2018-02-01,GOOG,Alphabet Inc. (Class C),Communication Services,76.12883889877347,0.09636458994298225
full_dynamic_n10_score,2018-01-31,2018-02-01,MSCI,MSCI,Financials,75.69958440713268,0.09582123562855287
full_dynamic_n5_invvol,2018-01-31,2018-02-01,SPGI,S&P Global,Financials,77.95223399882852,0.3665209943510901
full_dynamic_n5_invvol,2018-01-31,2018-02-01,URI,United Rentals,Industrials,79.96457970172438,0.22560836739534343
full_dynamic_n5_invvol,2018-01-31,2018-02-01,NVDA,Nvidia,Information Technology,85.99570208567013,0.15795472544486705
full_dynamic_n5_invvol,2018-01-31,2018-02-01,NTAP,NetApp,Information Technology,78.8322675166832,0.13372410449657327
full_dynamic_n5_invvol,2018-01-31,2018-02-01,ANET,Arista Networks,Information Technology,83.74501062919013,0.11619180831212604
full_dynamic_n20_invvol,2018-01-31,2018-02-01,SPGI,S&P Global,Financials,77.95223399882852,0.07990116770719047
full_dynamic_n20_invvol,2018-01-31,2018-02-01,GOOG,Alphabet Inc. (Class C),Communication Services,76.12883889877347,0.07524864766741826
full_dynamic_n20_invvol,2018-01-31,2018-02-01,GOOGL,Alphabet Inc. (Class A),Communication Services,74.58602863258817,0.07272768144804255
full_dynamic_n20_invvol,2018-01-31,2018-02-01,AOS,A. O. Smith,Industrials,73.56110556533,0.07269339061585199
full_dynamic_n20_invvol,2018-01-31,2018-02-01,BAX,Baxter International,Health Care,74.09213196137569,0.06349136350526717
full_dynamic_n20_invvol,2018-01-31,2018-02-01,MA,Mastercard,Financials,77.06214136031934,0.060554360493223186
full_dynamic_n20_invvol,2018-01-31,2018-02-01,FTNT,Fortinet,Information Technology,77.48815303914809,0.06043072283810488
full_dynamic_n20_invvol,2018-01-31,2018-02-01,TROW,T. Rowe Price,Financials,74.7347125926177,0.05518349484989226
full_dynamic_n20_invvol,2018-01-31,2018-02-01,MSCI,MSCI,Financials,75.69958440713268,0.05315895486940095
full_dynamic_n20_invvol,2018-01-31,2018-02-01,URI,United Rentals,Industrials,79.96457970172438,0.049182372298524686
full_dynamic_n20_invvol,2018-01-31,2018-02-01,ARES,Ares Management,Financials,75.01517940365471,0.0449400342721395
full_dynamic_n20_invvol,2018-01-31,2018-02-01,ADBE,Adobe Inc.,Information Technology,74.59128613929838,0.04060825002639214
full_dynamic_n20_invvol,2018-01-31,2018-02-01,BBY,Best Buy,Consumer Discretionary,74.51825013048125,0.039602709765961454
