strategy,category,score_variant,n,allocation,signal_date,execution_date,exit_execution_date,regime,gross_return,net_return,turnover_half_l1,traded_notional,cost,valid_weight_fraction,max_stock_weight,top3_stock_weight,stock_hhi,effective_stock_count,max_sector_weight,sector_hhi,effective_sector_count
full_dynamic_n10_invvol,base,full_dynamic,10,invvol,2018-01-31,2018-02-01,2018-03-01,RISK_ON,0.025145969874760834,0.024145969874760833,1.0,1.0,0.001,1.0,0.15669829699981394,0.42301215184535795,0.11266106021568242,8.876181336173863,0.2928966702282326,0.2251468347664223,4.441545896203453
full_dynamic_n10_equal,allocation,full_dynamic,10,equal,2018-01-31,2018-02-01,2018-03-01,RISK_ON,0.02186283622779748,0.020862836227797478,1.0,1.0,0.001,1.0,0.1,0.30000000000000004,0.10000000000000003,9.999999999999996,0.4,0.26000000000000006,3.8461538461538454
full_dynamic_n10_score,allocation,full_dynamic,10,score,2018-01-31,2018-02-01,2018-03-01,RISK_ON,0.021400946320116184,0.020400946320116183,1.0,1.0,0.001,1.0,0.10877147324542627,0.31580392926575207,0.10015698672738507,9.984325933465593,0.41237389627343557,0.26655649291411543,3.7515499587631513
full_dynamic_n5_invvol,breadth,full_dynamic,5,invvol,2018-01-31,2018-02-01,2018-03-01,RISK_ON,0.015110513528943475,0.014110513528943474,1.0,1.0,0.001,1.0,0.3665247480785273,0.7500637771900142,0.2415617281698455,4.139728621650222,0.4079188545017751,0.3516138712290209,2.844028867531958
full_dynamic_n20_invvol,breadth,full_dynamic,20,invvol,2018-01-31,2018-02-01,2018-03-01,RISK_ON,0.009104440282913915,0.008104440282913915,1.0,1.0,0.001,0.9999999999999999,0.07818983829579718,0.2229909656579766,0.05501676069091442,18.17627914551396,0.32526600664891847,0.19944467603435645,5.013921754560846
full_dynamic_strict_12_30,constraint_baseline,full_dynamic,10,strict,2018-01-31,2018-02-01,2018-03-01,RISK_ON,0.011460924533272509,0.01046092453327251,1.0,1.0,0.001,1.0,0.12,0.36,0.10363417273111045,9.649326796814437,0.3,0.22463564406851802,4.45165327233189
static_neutral_n10_invvol,macro_ablation,static_neutral,10,invvol,2018-01-31,2018-02-01,2018-03-01,RISK_ON,-0.0025048232638416024,-0.0035048232638416024,1.0,1.0,0.001,1.0,0.13222165097001792,0.3897592493611612,0.10938509500373211,9.142013360832031,0.2575375983911432,0.21257736197737817,4.704169769998448
dynamic_no_macro_sector_n10,macro_ablation,dynamic_no_macro_sector,10,invvol,2018-01-31,2018-02-01,2018-03-01,RISK_ON,0.015998312293238913,0.014998312293238912,1.0,1.0,0.001,1.0,0.15555955032016258,0.4280774810268901,0.11298492368973179,8.850738375910248,0.2878083812926443,0.22254843780736216,4.493403817399965
no_sector_rotation_n10,factor_ablation,no_sector_rotation,10,invvol,2018-01-31,2018-02-01,2018-03-01,RISK_ON,0.01342433727174276,0.01242433727174276,1.0,1.0,0.001,1.0,0.15694708574914978,0.4338613465121242,0.11050294805532479,9.049532321068362,0.3444429210048235,0.24197678510796003,4.1326278450796075
no_momentum_n10,factor_ablation,no_momentum,10,invvol,2018-01-31,2018-02-01,2018-03-01,RISK_ON,-0.006951193040766278,-0.007951193040766278,1.0,1.0,0.001,0.9999999999999999,0.14783627816690176,0.3983045739638888,0.10906264875192097,9.16904193547185,0.3983045739638888,0.303057642296662,3.2997023022475167
no_quality_n10,factor_ablation,no_quality,10,invvol,2018-01-31,2018-02-01,2018-03-01,RISK_ON,0.008795798710777711,0.0077957987107777115,1.0,1.0,0.001,1.0,0.14291522626818254,0.41011786278957607,0.11100142911723666,9.008893020141457,0.28082192106304826,0.2236649840415917,4.470972531909799
no_value_n10,factor_ablation,no_value,10,invvol,2018-01-31,2018-02-01,2018-03-01,RISK_ON,0.026585200743002278,0.025585200743002277,1.0,1.0,0.001,1.0,0.18359863628131948,0.4412902575365354,0.1134230713427722,8.816548416132484,0.41657727505524655,0.36619025754534085,2.7308208762931994
no_growth_n10,factor_ablation,no_growth,10,invvol,2018-01-31,2018-02-01,2018-03-01,RISK_ON,-0.007519773658504807,-0.008519773658504808,1.0,1.0,0.001,1.0,0.1577101060445044,0.42651144832935695,0.11491988973399353,8.701713883599368,0.38287862382251664,0.27703520429201617,3.609649548170506
no_low_vol_n10,factor_ablation,no_low_vol,10,invvol,2018-01-31,2018-02-01,2018-03-01,RISK_ON,0.03599601456605345,0.034996014566053446,1.0,1.0,0.001,1.0,0.16442912124054085,0.4171101725098749,0.1103214952488194,9.064416664627299,0.5000070374136539,0.38399072708599297,2.6042295541580995
hyp_no_growth_low_vol_n10,interaction_hypothesis,no_growth_low_vol,10,invvol,2018-01-31,2018-02-01,2018-03-01,RISK_ON,0.01711940727058898,0.01611940727058898,1.0,1.0,0.001,0.9999999999999999,0.15488853973034403,0.4439015047650301,0.11233855464376936,8.90166339749559,0.3556694350055617,0.28923371473795567,3.4574115984576523
hyp_no_growth_low_vol_macro_sector_n10,interaction_hypothesis,no_growth_low_vol_macro_sector,10,invvol,2018-01-31,2018-02-01,2018-03-01,RISK_ON,0.00534860505873934,0.00434860505873934,1.0,1.0,0.001,1.0,0.14541459392863268,0.43067541010283006,0.11302225359580115,8.847815082295888,0.41609657164891184,0.34715235233190844,2.8805796454575403
hyp_static_neutral_no_growth_low_vol_n10,interaction_hypothesis,static_neutral_no_growth_low_vol,10,invvol,2018-01-31,2018-02-01,2018-03-01,RISK_ON,0.008003784011165676,0.007003784011165676,1.0,1.0,0.001,1.0,0.16664535872094113,0.44667495186281103,0.1150252505879672,8.69374328582954,0.404952374713966,0.26872375480164457,3.7212936412642
hyp_no_growth_low_vol_macro_sector_n10_equal,allocation_decomposition,no_growth_low_vol_macro_sector,10,equal,2018-01-31,2018-02-01,2018-03-01,RISK_ON,0.01380732290656639,0.01280732290656639,1.0,1.0,0.001,1.0,0.1,0.30000000000000004,0.10000000000000003,9.999999999999996,0.4,0.3400000000000001,2.9411764705882346
hyp_no_growth_low_vol_macro_sector_n10_score,allocation_decomposition,no_growth_low_vol_macro_sector,10,score,2018-01-31,2018-02-01,2018-03-01,RISK_ON,0.013725094232025874,0.012725094232025874,1.0,1.0,0.001,1.0,0.10787540241140053,0.31743914090438197,0.10017420250861289,9.98261004288026,0.4099904567114314,0.34216992822620895,2.9225245046633637
full_dynamic_n10_invvol,base,full_dynamic,10,invvol,2018-02-28,2018-03-01,2018-04-02,RISK_ON,0.012824231244616135,0.011384786226790655,0.7197225089127396,1.4394450178254792,0.0014394450178254793,1.0,0.15199462120664994,0.38294863116511463,0.1060514702262102,9.429383655568161,0.412082612059701,0.3584739245271457,2.789603180535588
full_dynamic_n10_equal,allocation,full_dynamic,10,equal,2018-02-28,2018-03-01,2018-04-02,RISK_ON,0.004495697041318603,0.003277518215009029,0.6090894131547869,1.2181788263095739,0.0012181788263095738,1.0,0.1,0.30000000000000004,0.10000000000000003,9.999999999999996,0.5,0.38,2.6315789473684212
