GICS Sector,holding_observations,distinct_symbols,share_of_holding_observations
Information Technology,271,30,0.2656862745098039
Energy,117,14,0.11470588235294117
Financials,105,22,0.10294117647058823
Consumer Discretionary,100,18,0.09803921568627451
Health Care,91,21,0.0892156862745098
Industrials,88,17,0.08627450980392157
Communication Services,72,8,0.07058823529411765
Real Estate,58,11,0.056862745098039215
Utilities,52,12,0.050980392156862744
Materials,38,7,0.03725490196078431
Consumer Staples,28,9,0.027450980392156862
