previous_signal_date,signal_date,previous_count,current_count,retained_count,retention_rate_of_current,entrants,exits
2018-01-31,2018-02-28,10,10,7,0.7,3,3
2018-02-28,2018-03-29,10,10,7,0.7,3,3
2018-03-29,2018-04-30,10,10,7,0.7,3,3
2018-04-30,2018-05-31,10,10,7,0.7,3,3
2018-05-31,2018-06-29,10,10,6,0.6,4,4
2018-06-29,2018-07-31,10,10,6,0.6,4,4
2018-07-31,2018-08-31,10,10,6,0.6,4,4
2018-08-31,2018-09-28,10,10,7,0.7,3,3
2018-09-28,2018-10-31,10,10,2,0.2,8,8
2018-10-31,2018-11-30,10,10,6,0.6,4,4
2018-11-30,2018-12-31,10,10,7,0.7,3,3
2018-12-31,2019-01-31,10,10,4,0.4,6,6
2019-01-31,2019-02-28,10,10,3,0.3,7,7
2019-02-28,2019-03-29,10,10,5,0.5,5,5
2019-03-29,2019-04-30,10,10,7,0.7,3,3
2019-04-30,2019-05-31,10,10,4,0.4,6,6
2019-05-31,2019-06-28,10,10,4,0.4,6,6
2019-06-28,2019-07-31,10,10,4,0.4,6,6
2019-07-31,2019-08-30,10,10,6,0.6,4,4
2019-08-30,2019-09-30,10,10,5,0.5,5,5
2019-09-30,2019-10-31,10,10,6,0.6,4,4
2019-10-31,2019-11-29,10,10,4,0.4,6,6
2019-11-29,2019-12-31,10,10,7,0.7,3,3
2019-12-31,2020-01-31,10,10,6,0.6,4,4
2020-01-31,2020-02-28,10,10,8,0.8,2,2
2020-02-28,2020-03-31,10,10,5,0.5,5,5
2020-03-31,2020-04-30,10,10,7,0.7,3,3
2020-04-30,2020-05-29,10,10,6,0.6,4,4
2020-05-29,2020-06-30,10,10,6,0.6,4,4
2020-06-30,2020-07-31,10,10,8,0.8,2,2
2020-07-31,2020-08-31,10,10,6,0.6,4,4
2020-08-31,2020-09-30,10,10,6,0.6,4,4
2020-09-30,2020-10-30,10,10,7,0.7,3,3
2020-10-30,2020-11-30,10,10,4,0.4,6,6
2020-11-30,2020-12-31,10,10,8,0.8,2,2
2020-12-31,2021-01-29,10,10,5,0.5,5,5
2021-01-29,2021-02-26,10,10,5,0.5,5,5
2021-02-26,2021-03-31,10,10,7,0.7,3,3
2021-03-31,2021-04-30,10,10,9,0.9,1,1
2021-04-30,2021-05-28,10,10,4,0.4,6,6
2021-05-28,2021-06-30,10,10,6,0.6,4,4
2021-06-30,2021-07-30,10,10,6,0.6,4,4
2021-07-30,2021-08-31,10,10,5,0.5,5,5
2021-08-31,2021-09-30,10,10,6,0.6,4,4
2021-09-30,2021-10-29,10,10,4,0.4,6,6
2021-10-29,2021-11-30,10,10,6,0.6,4,4
2021-11-30,2021-12-31,10,10,6,0.6,4,4
2021-12-31,2022-01-31,10,10,3,0.3,7,7
2022-01-31,2022-02-28,10,10,5,0.5,5,5
2022-02-28,2022-03-31,10,10,7,0.7,3,3
2022-03-31,2022-04-29,10,10,5,0.5,5,5
2022-04-29,2022-05-31,10,10,4,0.4,6,6
2022-05-31,2022-06-30,10,10,5,0.5,5,5
2022-06-30,2022-07-29,10,10,7,0.7,3,3
2022-07-29,2022-08-31,10,10,7,0.7,3,3
2022-08-31,2022-09-30,10,10,5,0.5,5,5
2022-09-30,2022-10-31,10,10,6,0.6,4,4
2022-10-31,2022-11-30,10,10,7,0.7,3,3
2022-11-30,2022-12-30,10,10,7,0.7,3,3
2022-12-30,2023-01-31,10,10,5,0.5,5,5
2023-01-31,2023-02-28,10,10,2,0.2,8,8
2023-02-28,2023-03-31,10,10,5,0.5,5,5
2023-03-31,2023-04-28,10,10,6,0.6,4,4
2023-04-28,2023-05-31,10,10,6,0.6,4,4
2023-05-31,2023-06-30,10,10,9,0.9,1,1
2023-06-30,2023-07-31,10,10,7,0.7,3,3
2023-07-31,2023-08-31,10,10,6,0.6,4,4
2023-08-31,2023-09-29,10,10,3,0.3,7,7
2023-09-29,2023-10-31,10,10,7,0.7,3,3
2023-10-31,2023-11-30,10,10,7,0.7,3,3
2023-11-30,2023-12-29,10,10,6,0.6,4,4
2023-12-29,2024-01-31,10,10,6,0.6,4,4
2024-01-31,2024-02-29,10,10,8,0.8,2,2
2024-02-29,2024-03-28,10,10,9,0.9,1,1
2024-03-28,2024-04-30,10,10,7,0.7,3,3
2024-04-30,2024-05-31,10,10,5,0.5,5,5
2024-05-31,2024-06-28,10,10,5,0.5,5,5
2024-06-28,2024-07-31,10,10,4,0.4,6,6
2024-07-31,2024-08-30,10,10,6,0.6,4,4
2024-08-30,2024-09-30,10,10,5,0.5,5,5
2024-09-30,2024-10-31,10,10,5,0.5,5,5
2024-10-31,2024-11-29,10,10,5,0.5,5,5
2024-11-29,2024-12-31,10,10,7,0.7,3,3
2024-12-31,2025-01-31,10,10,5,0.5,5,5
2025-01-31,2025-02-28,10,10,5,0.5,5,5
2025-02-28,2025-03-31,10,10,5,0.5,5,5
2025-03-31,2025-04-30,10,10,4,0.4,6,6
2025-04-30,2025-05-30,10,10,7,0.7,3,3
2025-05-30,2025-06-30,10,10,5,0.5,5,5
2025-06-30,2025-07-31,10,10,7,0.7,3,3
2025-07-31,2025-08-29,10,10,7,0.7,3,3
2025-08-29,2025-09-30,10,10,6,0.6,4,4
2025-09-30,2025-10-31,10,10,3,0.3,7,7
2025-10-31,2025-11-28,10,10,4,0.4,6,6
2025-11-28,2025-12-31,10,10,7,0.7,3,3
2025-12-31,2026-01-30,10,10,5,0.5,5,5
2026-01-30,2026-02-27,10,10,5,0.5,5,5
2026-02-27,2026-03-31,10,10,9,0.9,1,1
2026-03-31,2026-04-30,10,10,7,0.7,3,3
2026-04-30,2026-05-29,10,10,8,0.8,2,2
2026-05-29,2026-06-30,10,10,4,0.4,6,6
