strategy,omitted_year,remaining_months,strategy_cagr,spy_cagr,cagr_excess_vs_spy
hyp_no_growth_low_vol_macro_sector_n10_score,2018,90,0.28440089686637116,0.16288041383884933,0.12152048302752183
hyp_no_growth_low_vol_macro_sector_n10_score,2019,90,0.2428328070303607,0.1293660489339401,0.1134667580964206
hyp_no_growth_low_vol_macro_sector_n10_score,2020,90,0.23052547598372342,0.13468546127009917,0.09584001471362424
hyp_no_growth_low_vol_macro_sector_n10_score,2021,90,0.22484697053360425,0.12906860944745668,0.09577836108614757
hyp_no_growth_low_vol_macro_sector_n10_score,2022,90,0.24421207358215846,0.17369853563405968,0.07051353794809878
hyp_no_growth_low_vol_macro_sector_n10_score,2023,90,0.24904995039122801,0.130036652737064,0.11901329765416402
hyp_no_growth_low_vol_macro_sector_n10_score,2024,90,0.20906701983116438,0.12703732540234625,0.08202969442881813
hyp_no_growth_low_vol_macro_sector_n10_score,2025,90,0.2623516405622497,0.13470879613110265,0.12764284443114704
hyp_no_growth_low_vol_macro_sector_n10_equal,2018,90,0.2828357480633854,0.16288041383884933,0.11995533422453608
hyp_no_growth_low_vol_macro_sector_n10_equal,2019,90,0.24197476804420126,0.1293660489339401,0.11260871911026116
hyp_no_growth_low_vol_macro_sector_n10_equal,2020,90,0.2297892211292396,0.13468546127009917,0.09510375985914044
hyp_no_growth_low_vol_macro_sector_n10_equal,2021,90,0.22427503916479452,0.12906860944745668,0.09520642971733784
hyp_no_growth_low_vol_macro_sector_n10_equal,2022,90,0.24287717395116837,0.17369853563405968,0.06917863831710869
hyp_no_growth_low_vol_macro_sector_n10_equal,2023,90,0.24807588764703148,0.130036652737064,0.11803923490996748
hyp_no_growth_low_vol_macro_sector_n10_equal,2024,90,0.20858480820891678,0.12703732540234625,0.08154748280657054
hyp_no_growth_low_vol_macro_sector_n10_equal,2025,90,0.26108454049052376,0.13470879613110265,0.12637574435942112
