strategy,year,months,strategy_return,spy_return,excess_return
hyp_no_growth_low_vol_macro_sector_n10_score,2018,12,-0.024475297618183567,-0.020595006944096994,-0.003880290674086573
hyp_no_growth_low_vol_macro_sector_n10_score,2019,12,0.24852561343985857,0.21959258153182715,0.028933031908031426
hyp_no_growth_low_vol_macro_sector_n10_score,2020,12,0.3452815969057572,0.17735939981709614,0.16792219708866107
hyp_no_growth_low_vol_macro_sector_n10_score,2021,12,0.39276880030736794,0.22200429760887141,0.17076450269849652
hyp_no_growth_low_vol_macro_sector_n10_score,2022,12,0.23818257331539439,-0.08630549705859003,0.3244880703739844
hyp_no_growth_low_vol_macro_sector_n10_score,2023,12,0.20266375797289626,0.21417491818611323,-0.011511160213216964
hyp_no_growth_low_vol_macro_sector_n10_score,2024,12,0.5350232590095834,0.23861971313251185,0.2964035458770715
hyp_no_growth_low_vol_macro_sector_n10_score,2025,12,0.11081096048322325,0.17717782229309642,-0.06636686180987317
hyp_no_growth_low_vol_macro_sector_n10_score,2026,6,0.100223169148413,0.09258196546795938,0.007641203680453623
hyp_static_neutral_no_growth_low_vol_n10,2018,12,-0.020498474625137653,-0.020595006944096994,9.653231895934145e-05
hyp_static_neutral_no_growth_low_vol_n10,2019,12,0.21304893566697602,0.21959258153182715,-0.006543645864851122
hyp_static_neutral_no_growth_low_vol_n10,2020,12,0.31944742264664727,0.17735939981709614,0.14208802282955113
hyp_static_neutral_no_growth_low_vol_n10,2021,12,0.40054413238116404,0.22200429760887141,0.17853983477229263
hyp_static_neutral_no_growth_low_vol_n10,2022,12,0.13095543639447405,-0.08630549705859003,0.21726093345306408
hyp_static_neutral_no_growth_low_vol_n10,2023,12,0.22531204699032914,0.21417491818611323,0.011137128804215912
hyp_static_neutral_no_growth_low_vol_n10,2024,12,0.3803261179435258,0.23861971313251185,0.14170640481101393
hyp_static_neutral_no_growth_low_vol_n10,2025,12,-0.013591935203929872,0.17717782229309642,-0.1907697574970263
hyp_static_neutral_no_growth_low_vol_n10,2026,6,0.13202471047634923,0.09258196546795938,0.039442745008389846
full_dynamic_n10_score,2018,12,0.01570627885471043,-0.020595006944096994,0.036301285798807426
full_dynamic_n10_score,2019,12,0.11932635029336991,0.21959258153182715,-0.10026623123845724
full_dynamic_n10_score,2020,12,0.16481157411987657,0.17735939981709614,-0.012547825697219572
full_dynamic_n10_score,2021,12,0.22993353451184095,0.22200429760887141,0.007929236902969539
full_dynamic_n10_score,2022,12,0.13512384961330426,-0.08630549705859003,0.2214293466718943
full_dynamic_n10_score,2023,12,0.21386935807191332,0.21417491818611323,-0.0003055601141999098
full_dynamic_n10_score,2024,12,0.20102385846823423,0.23861971313251185,-0.03759585466427762
full_dynamic_n10_score,2025,12,0.11777067798249075,0.17717782229309642,-0.059407144310605675
full_dynamic_n10_score,2026,6,0.1227085938444703,0.09258196546795938,0.030126628376510922
