GICS Sector,holding_observations,arithmetic_gross_contribution,annualized_arithmetic_gross_contribution,holding_observation_share
Information Technology,296,0.8798883320303795,0.10351627435651524,0.2901960784313726
Energy,117,0.3103616650118041,0.03651313706021225,0.11470588235294117
Communication Services,58,0.21826211508026858,0.025677895891796303,0.056862745098039215
Consumer Discretionary,99,0.21277625969763864,0.025032501140898663,0.09705882352941177
Industrials,86,0.16191262847036667,0.01904854452592549,0.08431372549019608
Financials,106,0.15509805944037758,0.018246830522397364,0.10392156862745099
Real Estate,53,0.09642062699310527,0.011343603175659444,0.05196078431372549
Utilities,57,0.07239035305954779,0.008516512124652681,0.05588235294117647
Health Care,86,0.02802256805954542,0.0032967727128876963,0.08431372549019608
Consumer Staples,28,-0.002502268538793308,-0.0002943845339756833,0.027450980392156862
Materials,34,-0.03228138458722338,-0.0037978099514380443,0.03333333333333333
